,total_deaths_2020-11-15,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
QJHong-Encounter,247585,369747.6,379070,123540.6,131485,-7944.4,-6.0%
JCB-PRM,247585,363558.6,379070,117351.6,131485,-14133.4,-10.7%
BPagano-RtDriven,247585,346406.6,379070,100199.6,131485,-31285.4,-23.8%
IBF-TimeSeries,247585,330029.0,379070,83822.0,131485,-47663.0,-36.2%
UCLA-SuEIR,247585,316739.1,379070,70532.1,131485,-60952.9,-46.4%
Columbia_UNC-SurvCon,247585,445164.0,379070,198957.0,131485,67472.0,51.3%
IowaStateLW-STEM,247585,308736.0,379070,62529.0,131485,-68956.0,-52.4%
Baseline,247585,306864.1,379070,60657.1,131485,-70827.9,-53.9%
COVIDhub-baseline,247585,306215.5,379070,60008.5,131485,-71476.5,-54.4%
JHUAPL-Bucky,247585,449657.8,379070,203450.8,131485,71965.8,54.7%
USACE-ERDC_SEIR,247585,460268.7,379070,214061.7,131485,82576.7,62.8%
WalmartLabsML-LogForecasting,247585,272373.8,379070,26166.8,131485,-105318.2,-80.1%
