,predicted_cases,actual_cases,error,perc_error
Covid19Sim-Simulator,4181047.7,6133227,-1952179.3,-31.8%
Columbia_UNC-SurvCon,4056490.0,6133227,-2076737.0,-33.9%
BPagano-RtDriven,3723207.2,6133227,-2410019.8,-39.3%
CU-select,3433296.0,6133227,-2699931.0,-44.0%
JCB-PRM,3396099.5,6133227,-2737127.5,-44.6%
IBF-TimeSeries,3128787.0,6133227,-3004440.0,-49.0%
JHUAPL-Bucky,3080676.0,6133227,-3052551.0,-49.8%
USACE-ERDC_SEIR,2918789.3,6133227,-3214437.7,-52.4%
COVIDhub-baseline,2812758.0,6133227,-3320469.0,-54.1%
USC-SI_kJalpha,2782283.0,6133227,-3350944.0,-54.6%
IowaStateLW-STEM,2612390.0,6133227,-3520837.0,-57.4%
UCLA-SuEIR,2396934.4,6133227,-3736292.6,-60.9%
JHU_IDD-CovidSP,2008183.8,6133227,-4125043.2,-67.3%
CovidAnalytics-DELPHI,1647444.0,6133227,-4485783.0,-73.1%
LANL-GrowthRate,1582020.6,6133227,-4551206.4,-74.2%
