,total_deaths_2020-09-27,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
IBF-TimeSeries,204970,254372.0,257672,49616.0,52702,-3086.0,-5.9%
USACE-ERDC_SEIR,204970,262318.1,257672,57562.1,52702,4860.1,9.2%
Columbia_UNC-SurvCon,204970,264253.0,257672,59497.0,52702,6795.0,12.9%
IHME-CurveFit,204970,266348.3,257672,61592.3,52702,8890.3,16.9%
USC-SI_kJalpha,204970,246432.0,257672,41676.0,52702,-11026.0,-20.9%
Baseline,204970,245982.4,257672,41226.4,52702,-11475.6,-21.8%
JCB-PRM,204970,240703.9,257672,35947.9,52702,-16754.1,-31.8%
Covid19Sim-Simulator,204970,234177.2,257672,29421.2,52702,-23280.8,-44.2%
UCLA-SuEIR,204970,233562.0,257672,28806.0,52702,-23896.0,-45.3%
WalmartLabsML-LogForecasting,204970,229045.7,257672,24289.7,52702,-28412.3,-53.9%
IowaStateLW-STEM,204970,227970.0,257672,23214.0,52702,-29488.0,-56.0%
MITCovAlliance-SIR,204970,,257672,,52702,,
RobertWalraven-ESG,204970,,257672,,52702,,
