,total_deaths_2020-08-30,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
CovidAnalytics-DELPHI,183204,204633.0,204654,21567.0,21450,117.0,0.5%
UCLA-SuEIR,183204,204245.5,204654,21179.5,21450,-270.5,-1.3%
Karlen-pypm,183204,204794.3,204654,21728.3,21450,278.3,1.3%
LNQ-ens1,183204,204870.1,204654,21804.1,21450,354.1,1.7%
USC-SI_kJalpha,183204,204895.0,204654,21829.0,21450,379.0,1.8%
OliverWyman-Navigator,183204,204129.1,204654,21063.1,21450,-386.9,-1.8%
Columbia_UNC-SurvCon,183204,204078.0,204654,21012.0,21450,-438.0,-2.0%
GT-DeepCOVID,183204,203949.1,204654,20883.1,21450,-566.9,-2.6%
COVIDhub-ensemble,183204,205093.0,204654,22027.0,21450,577.0,2.7%
STH-3PU,183204,203846.0,204654,20780.0,21450,-670.0,-3.1%
DDS-NBDS,183204,205398.8,204654,22332.8,21450,882.8,4.1%
JCB-PRM,183204,203625.1,204654,20559.1,21450,-890.9,-4.2%
SteveMcConnell-CovidComplete,183204,205553.0,204654,22487.0,21450,1037.0,4.8%
IowaStateLW-STEM,183204,205596.0,204654,22530.0,21450,1080.0,5.0%
QJHong-Encounter,183204,203075.8,204654,20009.8,21450,-1440.2,-6.7%
CU-select,183204,206529.0,204654,23463.0,21450,2013.0,9.4%
YYG-ParamSearch,183204,202421.5,204654,19355.5,21450,-2094.5,-9.8%
PSI-DRAFT,183204,207165.0,204654,24099.0,21450,2649.0,12.3%
UMass-MechBayes,183204,201839.0,204654,18773.0,21450,-2677.0,-12.5%
Baseline,183204,207234.9,204654,24168.9,21450,2718.9,12.7%
Covid19Sim-Simulator,183204,207299.2,204654,24233.2,21450,2783.2,13.0%
MOBS-GLEAM_COVID,183204,201475.6,204654,18409.6,21450,-3040.4,-14.2%
NotreDame-mobility,183204,200688.0,204654,17622.0,21450,-3828.0,-17.8%
COVIDhub-baseline,183204,208410.1,204654,25344.1,21450,3894.1,18.2%
UCM_MESALab-FoGSEIR,183204,200462.0,204654,17396.0,21450,-4054.0,-18.9%
CEID-Walk,183204,208589.6,204654,25523.6,21450,4073.6,19.0%
USACE-ERDC_SEIR,183204,209486.9,204654,26420.9,21450,4970.9,23.2%
JHU_IDD-CovidSP,183204,209528.4,204654,26462.4,21450,5012.4,23.4%
IHME-CurveFit,183204,210752.0,204654,27686.0,21450,6236.0,29.1%
RobertWalraven-ESG,183204,197876.6,204654,14810.6,21450,-6639.4,-31.0%
UA-EpiCovDA,183204,211451.0,204654,28385.0,21450,6935.0,32.3%
WalmartLabsML-LogForecasting,183204,197433.0,204654,14367.0,21450,-7083.0,-33.0%
LANL-GrowthRate,183204,197344.9,204654,14278.9,21450,-7171.1,-33.4%
JHUAPL-Bucky,183204,196698.2,204654,13632.2,21450,-7817.8,-36.4%
UMich-RidgeTfReg,183204,212427.1,204654,29361.1,21450,7911.1,36.9%
RPI_UW-Mob_Collision,183204,218386.3,204654,35320.3,21450,13870.3,64.7%
epiforecasts-ensemble1,183204,188124.0,204654,5058.0,21450,-16392.0,-76.4%
CMU-TimeSeries,183204,,204654,,21450,,
GT_CHHS-COVID19,183204,,204654,,21450,,
Google_Harvard-CPF,183204,,204654,,21450,,
NotreDame-FRED,183204,,204654,,21450,,
