,predicted_cases,actual_cases,error,perc_error
LNQ-ens1,946733.3,956273,-9539.7,-1.0%
UCLA-SuEIR,966987.6,956273,10714.6,1.1%
OliverWyman-Navigator,985994.0,956273,29721.0,3.1%
QJHong-Encounter,1004346.0,956273,48073.0,5.0%
USACE-ERDC_SEIR,894911.8,956273,-61361.2,-6.4%
DDS-NBDS,1025909.6,956273,69636.6,7.3%
USC-SI_kJalpha,879763.0,956273,-76510.0,-8.0%
Columbia_UNC-SurvCon,844553.0,956273,-111720.0,-11.7%
CovidAnalytics-DELPHI,1086464.0,956273,130191.0,13.6%
COVIDhub-ensemble,1090832.0,956273,134559.0,14.1%
CU-select,1103319.0,956273,147046.0,15.4%
CEID-Walk,1109137.2,956273,152864.2,16.0%
LANL-GrowthRate,781167.5,956273,-175105.5,-18.3%
COVIDhub-baseline,1132011.0,956273,175738.0,18.4%
UMich-RidgeTfReg,1190808.5,956273,234535.5,24.5%
JHU_IDD-CovidSP,1283764.8,956273,327491.8,34.2%
Karlen-pypm,1285669.3,956273,329396.3,34.4%
RobertWalraven-ESG,1370311.4,956273,414038.4,43.3%
IHME-CurveFit,2487756.9,956273,1531483.9,160.2%
