,predicted_cases,actual_cases,error,perc_error
USC-SI_kJalpha,1312991.0,1333381,-20390.0,-1.5%
USACE-ERDC_SEIR,1256848.4,1333381,-76532.6,-5.7%
Columbia_UNC-SurvCon,1232776.0,1333381,-100605.0,-7.5%
QJHong-Encounter,1435654.6,1333381,102273.6,7.7%
DDS-NBDS,1511675.6,1333381,178294.6,13.4%
LNQ-ens1,1538110.5,1333381,204729.5,15.4%
CovidAnalytics-DELPHI,1637411.0,1333381,304030.0,22.8%
LANL-GrowthRate,1025661.7,1333381,-307719.3,-23.1%
UCLA-SuEIR,1641986.6,1333381,308605.6,23.1%
COVIDhub-ensemble,1644314.0,1333381,310933.0,23.3%
RobertWalraven-ESG,1645652.9,1333381,312271.9,23.4%
IowaStateLW-STEM,1716046.0,1333381,382665.0,28.7%
UMich-RidgeTfReg,1724438.8,1333381,391057.8,29.3%
COVIDhub-baseline,1765896.0,1333381,432515.0,32.4%
Covid19Sim-Simulator,1960933.5,1333381,627552.5,47.1%
JHU_IDD-CovidSP,1974952.6,1333381,641571.6,48.1%
Karlen-pypm,2444450.4,1333381,1111069.4,83.3%
IHME-CurveFit,2988522.3,1333381,1655141.3,124.1%
