,total_deaths_2020-07-05,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Auquan-SEIR,130311,140242.0,140803,10295.0,10492,-197.0,-1.9%
Columbia_UNC-SurvCon,130311,140166.0,140803,10219.0,10492,-273.0,-2.6%
USACE-ERDC_SEIR,130311,140760.9,140803,10813.9,10492,321.9,3.1%
CovidActNow-SEIR_CAN,130311,139879.0,140803,9932.0,10492,-560.0,-5.3%
JHU_IDD-CovidSP,130311,141486.9,140803,11539.9,10492,1047.9,10.0%
UMass-MechBayes,130311,139203.0,140803,9256.0,10492,-1236.0,-11.8%
OliverWyman-Navigator,130311,138308.9,140803,8361.9,10492,-2130.1,-20.3%
MOBS-GLEAM_COVID,130311,138079.3,140803,8132.3,10492,-2359.7,-22.5%
UT-Mobility,130311,138003.5,140803,8056.5,10492,-2435.5,-23.2%
COVIDhub-ensemble,130311,137846.3,140803,7899.3,10492,-2592.7,-24.7%
QJHong-Encounter,130311,143105.3,140803,13158.3,10492,2666.3,25.4%
IowaStateLW-STEM,130311,143232.0,140803,13285.0,10492,2793.0,26.6%
Covid19Sim-Simulator,130311,137430.5,140803,7483.5,10492,-3008.5,-28.7%
IHME-CurveFit,130311,137292.6,140803,7345.6,10492,-3146.4,-30.0%
COVIDhub-baseline,130311,136787.9,140803,6840.9,10492,-3651.1,-34.8%
YYG-ParamSearch,130311,136778.8,140803,6831.8,10492,-3660.2,-34.9%
Baseline,130311,136608.6,140803,6661.6,10492,-3830.4,-36.5%
CU-select,130311,144403.0,140803,14456.0,10492,3964.0,37.8%
PSI-DRAFT,130311,136373.0,140803,6426.0,10492,-4066.0,-38.8%
USC-SI_kJalpha,130311,144541.8,140803,14594.8,10492,4102.8,39.1%
UCLA-SuEIR,130311,136258.2,140803,6311.2,10492,-4180.8,-39.8%
LANL-GrowthRate,130311,136202.3,140803,6255.3,10492,-4236.7,-40.4%
UA-EpiCovDA,130311,135790.0,140803,5843.0,10492,-4649.0,-44.3%
CovidAnalytics-DELPHI,130311,145162.0,140803,15215.0,10492,4723.0,45.0%
NotreDame-mobility,130311,135372.3,140803,5425.3,10492,-5066.7,-48.3%
UMich-RidgeTfReg,130311,134962.7,140803,5015.7,10492,-5476.3,-52.2%
epiforecasts-ensemble1,130311,134699.0,140803,4752.0,10492,-5740.0,-54.7%
MITCovAlliance-SIR,130311,134401.2,140803,4454.2,10492,-6037.8,-57.5%
STH-3PU,130311,134158.0,140803,4211.0,10492,-6281.0,-59.9%
GT-DeepCOVID,130311,130859.5,140803,912.5,10492,-9579.5,-91.3%
RobertWalraven-ESG,130311,125136.7,140803,-4810.3,10492,-15302.3,-145.8%
GT_CHHS-COVID19,130311,,140803,,10492,,
NotreDame-FRED,130311,,140803,,10492,,
