,total_deaths_2020-06-28,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
LANL-GrowthRate,126652,140216.6,140803,14413.6,14151,262.6,1.9%
MITCovAlliance-SIR,126652,139574.3,140803,13771.3,14151,-379.7,-2.7%
CovidAnalytics-DELPHI,126652,140603.0,140803,14800.0,14151,649.0,4.6%
NotreDame-mobility,126652,139079.4,140803,13276.4,14151,-874.6,-6.2%
OliverWyman-Navigator,126652,140890.8,140803,15087.8,14151,936.8,6.6%
UT-Mobility,126652,138699.0,140803,12896.0,14151,-1255.0,-8.9%
GT-DeepCOVID,126652,141437.0,140803,15634.0,14151,1483.0,10.5%
UA-EpiCovDA,126652,141484.0,140803,15681.0,14151,1530.0,10.8%
COVIDhub-ensemble,126652,141982.1,140803,16179.1,14151,2028.1,14.3%
IHME-CurveFit,126652,137800.3,140803,11997.3,14151,-2153.7,-15.2%
Auquan-SEIR,126652,137773.0,140803,11970.0,14151,-2181.0,-15.4%
YYG-ParamSearch,126652,137642.6,140803,11839.6,14151,-2311.4,-16.3%
UMass-MechBayes,126652,142376.0,140803,16573.0,14151,2422.0,17.1%
Baseline,126652,142443.0,140803,16640.0,14151,2489.0,17.6%
epiforecasts-ensemble1,126652,137153.0,140803,11350.0,14151,-2801.0,-19.8%
COVIDhub-baseline,126652,142980.4,140803,17177.4,14151,3026.4,21.4%
PSI-DRAFT,126652,136843.5,140803,11040.5,14151,-3110.5,-22.0%
Covid19Sim-Simulator,126652,136504.2,140803,10701.2,14151,-3449.8,-24.4%
USC-SI_kJalpha,126652,143625.1,140803,17822.1,14151,3671.1,25.9%
MOBS-GLEAM_COVID,126652,135923.5,140803,10120.5,14151,-4030.5,-28.5%
UCLA-SuEIR,126652,135753.6,140803,9950.6,14151,-4200.4,-29.7%
SWC-TerminusCM,126652,134418.0,140803,8615.0,14151,-5536.0,-39.1%
JHU_IDD-CovidSP,126652,145894.2,140803,20091.2,14151,5940.2,42.0%
USACE-ERDC_SEIR,126652,133435.0,140803,7632.0,14151,-6519.0,-46.1%
STH-3PU,126652,132440.0,140803,6637.0,14151,-7514.0,-53.1%
IowaStateLW-STEM,126652,131278.0,140803,5475.0,14151,-8676.0,-61.3%
CU-select,126652,160349.0,140803,34546.0,14151,20395.0,144.1%
GT_CHHS-COVID19,126652,,140803,,14151,,
NotreDame-FRED,126652,,140803,,14151,,
