,predicted_cases,actual_cases,error,perc_error
Covid19Sim-Simulator,243994.1,241222,2772.1,1.1%
IBF-TimeSeries,246760.9,241222,5538.9,2.3%
JHU_IDD-CovidSP,248994.2,241222,7772.2,3.2%
CovidAnalytics-DELPHI,216441.0,241222,-24781.0,-10.3%
Karlen-pypm,267803.2,241222,26581.2,11.0%
UCLA-SuEIR,269349.3,241222,28127.3,11.7%
LANL-GrowthRate,210481.9,241222,-30740.1,-12.7%
USACE-ERDC_SEIR,272571.6,241222,31349.6,13.0%
COVIDhub-ensemble,272867.0,241222,31645.0,13.1%
LNQ-ens1,272867.3,241222,31645.3,13.1%
DDS-NBDS,272950.1,241222,31728.1,13.2%
Geneva-DetGrowth,281734.7,241222,40512.7,16.8%
CEID-Walk,281750.4,241222,40528.4,16.8%
USC-SI_kJalpha,282872.0,241222,41650.0,17.3%
JCB-PRM,283334.9,241222,42112.9,17.5%
UMich-RidgeTfReg,283645.0,241222,42423.0,17.6%
COVIDhub-baseline,283876.0,241222,42654.0,17.7%
QJHong-Encounter,290665.9,241222,49443.9,20.5%
RobertWalraven-ESG,190436.7,241222,-50785.3,-21.1%
Columbia_UNC-SurvCon,294358.0,241222,53136.0,22.0%
OliverWyman-Navigator,296420.0,241222,55198.0,22.9%
CU-select,299198.0,241222,57976.0,24.0%
IQVIA_ACOE-STAN,300805.0,241222,59583.0,24.7%
JHUAPL-Bucky,319741.3,241222,78519.3,32.6%
IowaStateLW-STEM,326008.0,241222,84786.0,35.1%
