,predicted_cases,actual_cases,error,perc_error
QJHong-Encounter,1032803.0,1034708,-1905.0,-0.2%
Columbia_UNC-SurvCon,1067665.0,1034708,32957.0,3.2%
UMich-RidgeTfReg,998522.2,1034708,-36185.8,-3.5%
CU-select,1074363.0,1034708,39655.0,3.8%
TTU-squider,993681.8,1034708,-41026.2,-4.0%
CEID-Walk,953071.9,1034708,-81636.1,-7.9%
LNQ-ens1,944796.9,1034708,-89911.1,-8.7%
COVIDhub-baseline,929910.0,1034708,-104798.0,-10.1%
USACE-ERDC_SEIR,922322.0,1034708,-112386.0,-10.9%
COVIDhub-ensemble,903846.0,1034708,-130862.0,-12.6%
OliverWyman-Navigator,1168463.0,1034708,133755.0,12.9%
JCB-PRM,895299.9,1034708,-139408.1,-13.5%
JHUAPL-Bucky,891177.2,1034708,-143530.8,-13.9%
USC-SI_kJalpha,872014.0,1034708,-162694.0,-15.7%
IowaStateLW-STEM,871342.0,1034708,-163366.0,-15.8%
IBF-TimeSeries,839948.0,1034708,-194760.0,-18.8%
Karlen-pypm,798787.3,1034708,-235920.7,-22.8%
DDS-NBDS,1286707.9,1034708,251999.9,24.4%
UCLA-SuEIR,750705.4,1034708,-284002.6,-27.4%
JHU_IDD-CovidSP,742953.6,1034708,-291754.4,-28.2%
Covid19Sim-Simulator,655800.7,1034708,-378907.3,-36.6%
LANL-GrowthRate,608814.1,1034708,-425893.9,-41.2%
CovidAnalytics-DELPHI,420050.0,1034708,-614658.0,-59.4%
RobertWalraven-ESG,,1034708,,
