,predicted_cases,actual_cases,error,perc_error
Karlen-pypm,524570.0,525047,-477.0,-0.1%
USACE-ERDC_SEIR,535977.2,525047,10930.2,2.1%
LNQ-ens1,541866.1,525047,16819.1,3.2%
USC-SI_kJalpha,541977.0,525047,16930.0,3.2%
COVIDhub-ensemble,549325.0,525047,24278.0,4.6%
UCLA-SuEIR,498421.5,525047,-26625.5,-5.1%
IBF-TimeSeries,494642.7,525047,-30404.3,-5.8%
JCB-PRM,560775.5,525047,35728.5,6.8%
JHU_IDD-CovidSP,488967.0,525047,-36080.0,-6.9%
UMich-RidgeTfReg,564426.1,525047,39379.1,7.5%
CEID-Walk,566409.6,525047,41362.6,7.9%
COVIDhub-baseline,567752.0,525047,42705.0,8.1%
QJHong-Encounter,568808.2,525047,43761.2,8.3%
DDS-NBDS,573924.2,525047,48877.2,9.3%
Covid19Sim-Simulator,471277.5,525047,-53769.5,-10.2%
Columbia_UNC-SurvCon,595704.0,525047,70657.0,13.5%
OliverWyman-Navigator,600908.0,525047,75861.0,14.4%
IQVIA_ACOE-STAN,601476.0,525047,76429.0,14.6%
JHUAPL-Bucky,636037.0,525047,110990.0,21.1%
IowaStateLW-STEM,638694.0,525047,113647.0,21.6%
CovidAnalytics-DELPHI,404484.0,525047,-120563.0,-23.0%
LANL-GrowthRate,382051.2,525047,-142995.8,-27.2%
CU-select,670657.0,525047,145610.0,27.7%
RobertWalraven-ESG,355536.8,525047,-169510.2,-32.3%
