,predicted_cases,actual_cases,error,perc_error
DDS-NBDS,1083732.2,1106700,-22967.8,-2.1%
Karlen-pypm,1160095.9,1106700,53395.9,4.8%
UCLA-SuEIR,1025273.9,1106700,-81426.1,-7.4%
CU-select,1191787.0,1106700,85087.0,7.7%
CEID-Walk,1221269.3,1106700,114569.3,10.4%
COVIDhub-baseline,1223788.0,1106700,117088.0,10.6%
JHU_IDD-CovidSP,1230195.6,1106700,123495.6,11.2%
COVIDhub-ensemble,959543.0,1106700,-147157.0,-13.3%
UMich-RidgeTfReg,954017.4,1106700,-152682.6,-13.8%
IowaStateLW-STEM,1261629.0,1106700,154929.0,14.0%
QJHong-Encounter,1261951.4,1106700,155251.4,14.0%
CovidAnalytics-DELPHI,920606.0,1106700,-186094.0,-16.8%
LNQ-ens1,917151.4,1106700,-189548.6,-17.1%
USACE-ERDC_SEIR,868383.3,1106700,-238316.7,-21.5%
Columbia_UNC-SurvCon,849385.0,1106700,-257315.0,-23.3%
USC-SI_kJalpha,837859.0,1106700,-268841.0,-24.3%
RobertWalraven-ESG,799105.2,1106700,-307594.8,-27.8%
Covid19Sim-Simulator,783966.9,1106700,-322733.1,-29.2%
LANL-GrowthRate,719192.0,1106700,-387508.0,-35.0%
