,total_deaths_2021-02-14,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
JHU_IDD-CovidSP,487035,522974.9,525162,37590.9,38127,-536.1,-1.4%
TTU-squider,487035,522413.8,525162,37029.8,38127,-1097.2,-2.9%
UA-EpiCovDA,487035,522363.0,525162,36979.0,38127,-1148.0,-3.0%
UMass-MechBayes,487035,524669.0,525162,39285.0,38127,1158.0,3.0%
SigSci-TS,487035,525011.0,525162,39627.0,38127,1500.0,3.9%
Karlen-pypm,487035,521036.4,525162,35652.4,38127,-2474.6,-6.5%
WalmartLabsML-LogForecasting,487035,521004.0,525162,35620.0,38127,-2507.0,-6.6%
USC-SI_kJalpha,487035,526890.0,525162,41506.0,38127,3379.0,8.9%
LANL-GrowthRate,487035,519973.5,525162,34589.5,38127,-3537.5,-9.3%
JHUAPL-Bucky,487035,527643.7,525162,42259.7,38127,4132.7,10.8%
OliverWyman-Navigator,487035,528257.5,525162,42873.5,38127,4746.5,12.4%
CU-select,487035,518697.0,525162,33313.0,38127,-4814.0,-12.6%
FDANIHASU-Sweight,487035,528611.9,525162,43227.9,38127,5100.9,13.4%
RobertWalraven-ESG,487035,528649.4,525162,43265.4,38127,5138.4,13.5%
IHME-CurveFit,487035,517782.8,525162,32398.8,38127,-5728.2,-15.0%
PSI-DRAFT,487035,530600.0,525162,45216.0,38127,7089.0,18.6%
CovidAnalytics-DELPHI,487035,530705.0,525162,45321.0,38127,7194.0,18.9%
MOBS-GLEAM_COVID,487035,531202.0,525162,45818.0,38127,7691.0,20.2%
COVIDhub-ensemble,487035,531586.0,525162,46202.0,38127,8075.0,21.2%
QJHong-Encounter,487035,531586.4,525162,46202.4,38127,8075.4,21.2%
Columbia_UNC-SurvCon,487035,532024.0,525162,46640.0,38127,8513.0,22.3%
BPagano-RtDriven,487035,532716.5,525162,47332.5,38127,9205.5,24.1%
UCSD_NEU-DeepGLEAM,487035,532757.3,525162,47373.3,38127,9246.3,24.3%
UpstateSU-GRU,487035,533127.3,525162,47743.3,38127,9616.3,25.2%
UMich-RidgeTfReg,487035,533562.9,525162,48178.9,38127,10051.9,26.4%
JHU_CSSE-DECOM,487035,533841.0,525162,48457.0,38127,10330.0,27.1%
Baseline,487035,534469.7,525162,49085.7,38127,10958.7,28.7%
MIT_ISOLAT-Mixtures,487035,535549.1,525162,50165.1,38127,12038.1,31.6%
IowaStateLW-STEM,487035,536194.0,525162,50810.0,38127,12683.0,33.3%
Covid19Sim-Simulator,487035,510724.1,525162,25340.1,38127,-12786.9,-33.5%
LNQ-ens1,487035,537577.3,525162,52193.3,38127,14066.3,36.9%
Microsoft-DeepSTIA,487035,538330.8,525162,52946.8,38127,14819.8,38.9%
RPI_UW-Mob_Collision,487035,538769.7,525162,53385.7,38127,15258.7,40.0%
AIpert-pwllnod,487035,540835.9,525162,55451.9,38127,17324.9,45.4%
GT-DeepCOVID,487035,541345.5,525162,55961.5,38127,17834.5,46.8%
MIT_CritData-GBCF,487035,542980.0,525162,57596.0,38127,19469.0,51.1%
IBF-TimeSeries,487035,545619.0,525162,60235.0,38127,22108.0,58.0%
COVIDhub-baseline,487035,550373.1,525162,64989.1,38127,26862.1,70.5%
CEID-Walk,487035,550499.6,525162,65115.6,38127,26988.6,70.8%
COVIDhub-trained_ensemble,487035,551550.0,525162,66166.0,38127,28039.0,73.5%
epiforecasts-ensemble1,487035,555803.0,525162,70419.0,38127,32292.0,84.7%
UCM_MESALab-FoGSEIR,487035,574899.0,525162,89515.0,38127,51388.0,134.8%
CMU-TimeSeries,487035,,525162,,38127,,
GT_CHHS-COVID19,487035,,525162,,38127,,
Google_Harvard-CPF,487035,,525162,,38127,,
