,total_deaths_2021-01-17,predicted_deaths,actual_deaths,predicted_addl_deaths,actual_addl_deaths,error,perc_error
Covid19Sim-Simulator,404830,507441.8,525162,109841.8,120332,-10490.2,-8.7%
IHME-CurveFit,404830,529979.7,525162,132379.7,120332,12047.7,10.0%
QJHong-Encounter,404830,547996.8,525162,150396.8,120332,30064.8,25.0%
IowaStateLW-STEM,404830,556596.0,525162,158996.0,120332,38664.0,32.1%
Baseline,404830,557117.7,525162,159517.7,120332,39185.7,32.6%
UCLA-SuEIR,404830,478318.3,525162,80718.3,120332,-39613.7,-32.9%
COVIDhub-baseline,404830,559208.5,525162,161608.5,120332,41276.5,34.3%
IBF-TimeSeries,404830,570870.0,525162,173270.0,120332,52938.0,44.0%
Columbia_UNC-SurvCon,404830,574046.0,525162,176446.0,120332,56114.0,46.6%
WalmartLabsML-LogForecasting,404830,455759.7,525162,58159.7,120332,-62172.3,-51.7%
AIpert-pwllnod,404830,661202.6,525162,263602.6,120332,143270.6,119.1%
