,predicted_cases,actual_cases,error,perc_error
Geneva-DetGrowth,498813.0,472707,26106.0,5.5%
RobertWalraven-ESG,507949.2,472707,35242.2,7.5%
IEM_MED-CovidProject,516389.6,472707,43682.6,9.2%
LNQ-ens1,518155.4,472707,45448.4,9.6%
LANL-GrowthRate,423473.0,472707,-49234.0,-10.4%
OneQuietNight-ML,524796.0,472707,52089.0,11.0%
Karlen-pypm,535257.7,472707,62550.7,13.2%
UMich-RidgeTfReg,546684.3,472707,73977.3,15.6%
BPagano-RtDriven,559288.7,472707,86581.7,18.3%
SigSci-TS,559981.0,472707,87274.0,18.5%
CU-select,566589.0,472707,93882.0,19.9%
Microsoft-DeepSTIA,568591.0,472707,95884.0,20.3%
UVA-Ensemble,569948.3,472707,97241.3,20.6%
FDANIHASU-Sweight,570068.6,472707,97361.6,20.6%
CovidAnalytics-DELPHI,571127.0,472707,98420.0,20.8%
COVIDhub-ensemble,577180.0,472707,104473.0,22.1%
JHUAPL-Bucky,577180.1,472707,104473.1,22.1%
UCF-AEM,582126.0,472707,109419.0,23.1%
JHU_CSSE-DECOM,586124.0,472707,113417.0,24.0%
USC-SI_kJalpha,594245.0,472707,121538.0,25.7%
Columbia_UNC-SurvCon,610987.0,472707,138280.0,29.3%
Covid19Sim-Simulator,613396.5,472707,140689.5,29.8%
QJHong-Encounter,629338.5,472707,156631.5,33.1%
OliverWyman-Navigator,648651.0,472707,175944.0,37.2%
IBF-TimeSeries,654114.0,472707,181407.0,38.4%
COVIDhub-baseline,657557.0,472707,184850.0,39.1%
UpstateSU-GRU,660114.8,472707,187407.8,39.6%
CEID-Walk,667051.9,472707,194344.9,41.1%
MIT_ISOLAT-Mixtures,687338.0,472707,214631.0,45.4%
IowaStateLW-STEM,689722.0,472707,217015.0,45.9%
JHU_IDD-CovidSP,714379.6,472707,241672.6,51.1%
TTU-squider,732834.9,472707,260127.9,55.0%
MOBS-GLEAM_COVID,736430.4,472707,263723.4,55.8%
COVIDhub-trained_ensemble,847842.0,472707,375135.0,79.4%
Google_Harvard-CPF,,472707,,
JHU_UNC_GAS-StatMechPool,,472707,,
