,predicted_cases,actual_cases,error,perc_error
LANL-GrowthRate,1054280.5,1135893,-81612.5,-7.2%
IEM_MED-CovidProject,1272049.2,1135893,136156.2,12.0%
LNQ-ens1,1272777.7,1135893,136884.7,12.1%
Karlen-pypm,1307789.6,1135893,171896.6,15.1%
SigSci-TS,1311582.0,1135893,175689.0,15.5%
Columbia_UNC-SurvCon,1321060.0,1135893,185167.0,16.3%
BPagano-RtDriven,1322601.2,1135893,186708.2,16.4%
UChicagoCHATTOPADHYAY-UnIT,1324705.1,1135893,188812.1,16.6%
RobertWalraven-ESG,1336077.4,1135893,200184.4,17.6%
CovidAnalytics-DELPHI,1344572.0,1135893,208679.0,18.4%
Microsoft-DeepSTIA,1383066.6,1135893,247173.6,21.8%
OneQuietNight-ML,1430881.0,1135893,294988.0,26.0%
COVIDhub-ensemble,1436815.0,1135893,300922.0,26.5%
USC-SI_kJalpha,1441532.0,1135893,305639.0,26.9%
UCF-AEM,1443213.0,1135893,307320.0,27.1%
JHUAPL-Bucky,1458274.7,1135893,322381.7,28.4%
COVIDhub-trained_ensemble,1460745.0,1135893,324852.0,28.6%
JHU_IDD-CovidSP,1461000.8,1135893,325107.8,28.6%
UpstateSU-GRU,1462730.2,1135893,326837.2,28.8%
UCLA-SuEIR,1466505.3,1135893,330612.3,29.1%
MIT_ISOLAT-Mixtures,1501712.9,1135893,365819.9,32.2%
JHU_CSSE-DECOM,1505907.0,1135893,370014.0,32.6%
FDANIHASU-Sweight,1517692.0,1135893,381799.0,33.6%
MOBS-GLEAM_COVID,1577426.2,1135893,441533.2,38.9%
UMich-RidgeTfReg,1579768.3,1135893,443875.3,39.1%
QJHong-Encounter,1580414.0,1135893,444521.0,39.1%
CU-select,1599009.0,1135893,463116.0,40.8%
OliverWyman-Navigator,1627274.0,1135893,491381.0,43.3%
IBF-TimeSeries,1642056.0,1135893,506163.0,44.6%
IowaStateLW-STEM,1682799.0,1135893,546906.0,48.1%
COVIDhub-baseline,1685804.0,1135893,549911.0,48.4%
TTU-squider,1693055.5,1135893,557162.5,49.1%
CEID-Walk,1699565.3,1135893,563672.3,49.6%
Covid19Sim-Simulator,1702622.6,1135893,566729.6,49.9%
DDS-NBDS,7513418.4,1135893,6377525.4,561.5%
Google_Harvard-CPF,,1135893,,
JHU_UNC_GAS-StatMechPool,,1135893,,
