,predicted_cases,actual_cases,error,perc_error
JHUAPL-Bucky,3055093.5,3044187,10906.5,0.4%
LANL-GrowthRate,3216572.0,3044187,172385.0,5.7%
UpstateSU-GRU,3342168.6,3044187,297981.6,9.8%
IEM_MED-CovidProject,3375548.7,3044187,331361.7,10.9%
TTU-squider,3807026.9,3044187,762839.9,25.1%
USC-SI_kJalpha,3872424.0,3044187,828237.0,27.2%
LNQ-ens1,3973019.0,3044187,928832.0,30.5%
MOBS-GLEAM_COVID,4047433.1,3044187,1003246.1,33.0%
JHU_IDD-CovidSP,4152566.9,3044187,1108379.9,36.4%
UCF-AEM,4231343.0,3044187,1187156.0,39.0%
Covid19Sim-Simulator,4276355.7,3044187,1232168.7,40.5%
FDANIHASU-Sweight,4405335.8,3044187,1361148.8,44.7%
Karlen-pypm,4543006.2,3044187,1498819.2,49.2%
RobertWalraven-ESG,4581288.7,3044187,1537101.7,50.5%
BPagano-RtDriven,4611651.9,3044187,1567464.9,51.5%
IBF-TimeSeries,4617443.0,3044187,1573256.0,51.7%
COVIDhub-ensemble,4621947.0,3044187,1577760.0,51.8%
MIT_ISOLAT-Mixtures,4632425.5,3044187,1588238.5,52.2%
UCLA-SuEIR,4743130.7,3044187,1698943.7,55.8%
IowaStateLW-STEM,4759267.0,3044187,1715080.0,56.3%
Columbia_UNC-SurvCon,4766889.0,3044187,1722702.0,56.6%
QJHong-Encounter,4798076.0,3044187,1753889.0,57.6%
COVIDhub-baseline,4942432.0,3044187,1898245.0,62.4%
CEID-Walk,5037257.9,3044187,1993070.9,65.5%
CU-select,5056205.0,3044187,2012018.0,66.1%
UMich-RidgeTfReg,5073802.1,3044187,2029615.1,66.7%
OneQuietNight-ML,5231477.0,3044187,2187290.0,71.9%
SigSci-TS,5286546.0,3044187,2242359.0,73.7%
Microsoft-DeepSTIA,5310265.3,3044187,2266078.3,74.4%
UVA-Ensemble,6178745.8,3044187,3134558.8,103.0%
CovidAnalytics-DELPHI,6773335.0,3044187,3729148.0,122.5%
DDS-NBDS,8783672.0,3044187,5739485.0,188.5%
Google_Harvard-CPF,,3044187,,
JHU_CSSE-DECOM,,3044187,,
JHU_UNC_GAS-StatMechPool,,3044187,,
UCSB-ACTS,,3044187,,
