,count,mean,median,std,min,25%,75%,max
COVIDhub-ensemble,51.0,14177.7,1152.9,36050.6,0.0,193.7,11720.6,182952.9
YYG-ParamSearch,51.0,33655.1,2486.4,84404.7,0.2,122.7,16619.0,404884.7
CU-select,51.0,51702.3,3136.0,176394.6,1.0,170.0,23258.5,1179396.0
LANL-GrowthRate,51.0,75232.6,1981.0,288220.4,0.0,247.2,31971.6,1991642.1
Baseline_0.98,51.0,101884.8,758.5,399085.4,1.0,57.4,10187.0,2154272.4
UMass-MechBayes,51.0,165910.0,7225.0,677340.8,0.0,188.5,39116.5,4422609.0
IHME-CurveFit,51.0,166279.2,2096.3,570604.6,0.0,135.6,38935.6,3167204.0
MIT_CovidAnalytics-DELPHI,51.0,223927.6,12321.0,781316.9,0.0,240.5,75013.0,4968441.0
UCLA-SuEIR,51.0,255342.8,7067.0,1230704.3,0.0,478.1,70447.7,8702633.4
Baseline,51.0,280114.2,1051.6,1224026.4,0.0,100.3,10195.2,6999048.2
MOBS_NEU-GLEAM_COVID,51.0,308016.4,7657.8,976664.3,0.7,659.8,60021.7,6477438.9
IowaStateLW-STEM,51.0,526307.1,11236.0,3312197.9,0.0,344.5,68016.5,23697424.0
Auquan-SEIR,51.0,897709.9,14161.0,5432689.7,25.0,2256.5,82594.0,38850289.0
UT-Mobility,51.0,1468580.9,3347.4,9806011.2,0.2,639.9,72297.8,70093972.0
