,total_deaths_2020-05-25,predicted_deaths,actual_deaths,additional_deaths,error,perc_error
MOBS_NEU-GLEAM_COVID,98541,110285.2,110123,11582,162.2,1.4%
UCLA-SuEIR,98541,110437.0,110123,11582,314.0,2.7%
UMass-MechBayes,98541,109725.0,110123,11582,-398.0,-3.4%
LANL-GrowthRate,98541,110639.9,110123,11582,516.9,4.5%
MIT_CovidAnalytics-DELPHI,98541,110658.0,110123,11582,535.0,4.6%
GT-DeepCOVID,98541,110961.3,110123,11582,838.3,7.2%
COVIDhub-ensemble,98541,111434.0,110123,11582,1311.0,11.3%
CU-select,98541,111455.0,110123,11582,1332.0,11.5%
Baseline_0.98,98541,111478.6,110123,11582,1355.6,11.7%
UT-Mobility,98541,111759.0,110123,11582,1636.0,14.1%
PSI-DRAFT,98541,108448.0,110123,11582,-1675.0,-14.5%
YYG-ParamSearch,98541,111798.7,110123,11582,1675.7,14.5%
IowaStateLW-STEM,98541,112343.0,110123,11582,2220.0,19.2%
Baseline,98541,113167.3,110123,11582,3044.3,26.3%
USACE-ERDC_SEIR,98541,106326.6,110123,11582,-3796.4,-32.8%
UA-EpiCovDA,98541,114550.0,110123,11582,4427.0,38.2%
Covid19Sim-Simulator,98541,104906.8,110123,11582,-5216.2,-45.0%
JHU_IDD-CovidSP,98541,116867.8,110123,11582,6744.8,58.2%
Auquan-SEIR,98541,,110123,11582,,
NotreDame-FRED,98541,,110123,11582,,
SWC-TerminusCM,98541,,110123,11582,,
