,total_deaths_2020-05-11,predicted_deaths,actual_deaths,additional_deaths,error,perc_error
UCLA-SuEIR,81018,104723.6,104054,23036,669.6,2.9%
MOBS_NEU-GLEAM_COVID,81018,104813.8,104054,23036,759.8,3.3%
UT-Mobility,81018,102678.6,104054,23036,-1375.4,-6.0%
GT-DeepCOVID,81018,105479.0,104054,23036,1425.0,6.2%
COVIDhub-ensemble,81018,105605.3,104054,23036,1551.3,6.7%
CU-select,81018,106425.0,104054,23036,2371.0,10.3%
YYG-ParamSearch,81018,107120.3,104054,23036,3066.3,13.3%
Baseline_0.98,81018,108028.6,104054,23036,3974.6,17.3%
LANL-GrowthRate,81018,99444.4,104054,23036,-4609.6,-20.0%
IHME-CurveFit,81018,109272.0,104054,23036,5218.0,22.7%
MIT_CovidAnalytics-DELPHI,81018,111885.0,104054,23036,7831.0,34.0%
Baseline,81018,113758.9,104054,23036,9704.9,42.1%
NotreDame-FRED,81018,,104054,23036,,
UChicago-CovidIL,81018,,104054,23036,,
UChicago-CovidIL_100,81018,,104054,23036,,
UChicago-CovidIL_40,81018,,104054,23036,,
UChicago-CovidIL_60,81018,,104054,23036,,
UChicago-CovidIL_80,81018,,104054,23036,,
UMass-MechBayes,81018,,104054,23036,,
