,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51.0,57.6,17.0,89.5,0.0,7.0,63.5,391.0
LANL-GrowthRate,51.0,64.1,19.7,121.8,0.1,4.4,63.1,751.1
UCLA-SuEIR,51.0,64.8,30.0,98.7,0.9,9.9,72.2,462.4
YYG-ParamSearch,51.0,71.9,15.4,124.0,0.3,5.7,55.4,561.5
Baseline_0.98,51.0,76.7,26.7,180.7,0.0,8.3,56.3,1146.9
COVIDhub-ensemble,51.0,77.3,28.2,140.2,0.3,9.0,77.7,792.8
UT-Mobility,51.0,77.8,25.7,115.7,0.0,6.9,108.9,519.9
CU-select,51.0,90.4,28.0,127.9,0.0,12.0,117.0,610.0
Baseline,51.0,101.9,22.0,242.6,0.0,6.9,63.9,1476.7
MOBS_NEU-GLEAM_COVID,51.0,113.0,37.9,203.0,0.0,10.8,94.0,917.2
IHME-CurveFit,51.0,116.9,28.0,211.0,1.3,11.1,82.1,923.5
MIT_CovidAnalytics-DELPHI,51.0,122.2,50.0,197.7,1.0,11.0,123.0,775.0
IowaStateLW-STEM,51.0,130.3,47.0,283.7,0.0,18.5,100.0,1796.0
USACE-ERDC_SEIR,51.0,133.9,34.4,237.6,0.6,7.2,130.9,957.4
PSI-DRAFT,51.0,164.2,37.0,390.3,0.0,12.5,95.2,2494.5
Auquan-SEIR,51.0,259.9,94.0,536.9,2.0,34.0,215.0,3294.0
UA-EpiCovDA,51.0,354.7,71.0,965.3,1.0,32.5,239.0,5537.0
JHU_IDD-CovidSP,51.0,518.9,197.7,863.2,3.0,66.2,533.4,4566.0
