,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51.0,2034.2,100.0,10575.0,0.0,4.0,362.0,75625.0
Baseline_0.98,51.0,2098.8,70.6,5394.9,0.0,4.5,869.6,29656.0
COVIDhub-ensemble,51.0,2853.9,166.6,7976.9,0.1,14.3,681.5,49638.5
Baseline,51.0,3044.1,91.6,8059.0,0.0,6.6,1109.6,44160.0
YYG-ParamSearch,51.0,3135.1,70.9,8911.4,0.0,3.1,1697.1,55102.4
LANL-GrowthRate,51.0,3268.8,168.0,10195.6,0.0,4.7,957.1,61506.8
UCLA-SuEIR,51.0,3639.5,163.3,10228.7,0.0,28.6,1330.8,50031.4
UT-Mobility,51.0,4712.6,225.0,13792.0,0.0,20.5,2132.1,86730.2
MIT_CovidAnalytics-DELPHI,51.0,5127.0,169.0,13972.3,0.0,9.0,2117.0,79524.0
MOBS_NEU-GLEAM_COVID,51.0,5490.9,59.7,14398.4,0.1,7.5,1750.3,68326.7
CU-select,51.0,5912.8,455.2,16013.7,0.0,90.5,4489.0,92416.0
Covid19Sim-Simulator,51.0,13081.4,2210.2,26008.7,0.0,70.9,13285.7,126121.5
UA-EpiCovDA,51.0,16352.1,1024.0,32427.1,0.0,144.0,12282.5,152881.0
JHU_IDD-CovidSP,51.0,16770.9,603.2,49650.5,0.1,156.5,3076.4,253456.9
IowaStateLW-STEM,51.0,20596.9,841.0,59324.2,0.0,30.5,6245.0,372100.0
USACE-ERDC_SEIR,51.0,25551.0,174.3,90152.4,0.1,11.7,7106.8,591913.2
PSI-DRAFT,51.0,67031.1,361.0,280917.8,0.0,30.5,6085.0,1912689.0
Auquan-SEIR,51.0,350126.7,8836.0,1569734.4,4.0,1160.0,46450.0,10850436.0
