,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51.0,3424.5,196.0,14260.4,0.0,4.0,1190.5,97344.0
COVIDhub-ensemble,51.0,6108.1,227.2,14176.4,0.1,19.5,3750.8,68167.0
Baseline_0.98,51.0,7737.4,167.9,24208.1,0.0,23.6,1468.6,130107.8
UCLA-SuEIR,51.0,8126.2,155.3,21176.4,0.1,18.9,3432.4,105555.1
LANL-GrowthRate,51.0,8155.8,359.5,30243.6,0.0,38.1,2515.7,208522.0
YYG-ParamSearch,51.0,8870.2,248.7,20993.6,0.4,8.5,2309.9,85388.4
UT-Mobility,51.0,11756.4,289.0,34099.7,0.0,17.0,2904.5,189225.0
MOBS_NEU-GLEAM_COVID,51.0,15213.5,493.1,42015.9,0.2,27.9,3626.8,260462.1
CU-select,51.0,16884.2,2073.5,35861.1,0.0,110.5,14280.5,186624.0
MIT_CovidAnalytics-DELPHI,51.0,17590.6,441.0,44182.0,0.0,20.5,6486.5,196249.0
Baseline,51.0,18656.9,441.0,56083.1,0.0,27.2,3274.0,301557.9
Covid19Sim-Simulator,51.0,32076.9,3906.9,62390.3,0.1,105.3,21276.3,264362.7
IowaStateLW-STEM,51.0,32917.8,1444.0,108031.1,0.0,100.0,10081.0,734449.0
USACE-ERDC_SEIR,51.0,61288.0,638.7,206133.6,0.0,48.0,13559.0,1345489.4
UA-EpiCovDA,51.0,65820.7,4489.0,135824.4,0.0,488.0,47528.0,562500.0
JHU_IDD-CovidSP,51.0,69061.8,5078.3,194170.1,21.2,1578.0,26591.3,1178234.3
PSI-DRAFT,51.0,117188.9,729.0,510928.2,0.0,65.0,17640.5,3564544.0
Auquan-SEIR,51.0,512015.9,15625.0,2296194.6,16.0,1157.0,105962.5,15888196.0
