,total_deaths_2020-05-25,predicted_deaths,actual_deaths,additional_deaths,error,perc_error
MOBS_NEU-GLEAM_COVID,98541,115405.5,115436,16895,-30.5,-0.2%
UCLA-SuEIR,98541,115390.2,115436,16895,-45.8,-0.3%
GT-DeepCOVID,98541,115838.4,115436,16895,402.4,2.4%
MIT_CovidAnalytics-DELPHI,98541,115939.0,115436,16895,503.0,3.0%
PSI-DRAFT,98541,114899.0,115436,16895,-537.0,-3.2%
UMass-MechBayes,98541,114894.0,115436,16895,-542.0,-3.2%
LANL-GrowthRate,98541,116356.7,115436,16895,920.7,5.4%
IowaStateLW-STEM,98541,116660.0,115436,16895,1224.0,7.2%
Baseline_0.98,98541,117379.5,115436,16895,1943.5,11.5%
CU-select,98541,117588.0,115436,16895,2152.0,12.7%
COVIDhub-ensemble,98541,117606.9,115436,16895,2170.9,12.8%
UT-Mobility,98541,118018.5,115436,16895,2582.5,15.3%
YYG-ParamSearch,98541,118896.4,115436,16895,3460.4,20.5%
USACE-ERDC_SEIR,98541,109943.5,115436,16895,-5492.5,-32.5%
Baseline,98541,121313.3,115436,16895,5877.3,34.8%
UA-EpiCovDA,98541,122429.0,115436,16895,6993.0,41.4%
Covid19Sim-Simulator,98541,108334.1,115436,16895,-7101.9,-42.0%
JHU_IDD-CovidSP,98541,128522.4,115436,16895,13086.4,77.5%
Auquan-SEIR,98541,,115436,16895,,
NotreDame-FRED,98541,,115436,16895,,
SWC-TerminusCM,98541,,115436,16895,,
