,count,mean,median,std,min,25%,75%,max
YYG-ParamSearch,51.0,2846.4,215.3,5686.0,0.1,32.4,2991.1,27386.9
Baseline_0.98,51.0,3811.7,235.2,9074.7,0.0,48.0,2395.1,45248.5
LANL-GrowthRate,51.0,5156.2,327.4,9784.6,0.1,23.7,3623.8,44505.3
COVIDhub-ensemble,51.0,6046.2,656.1,13041.1,0.0,31.2,5381.0,70066.1
Baseline,51.0,6055.6,453.1,12126.2,0.0,38.6,6097.4,50240.0
UCLA-SuEIR,51.0,7322.9,231.0,15045.4,0.0,20.4,5056.5,56111.9
UMass-MechBayes,51.0,8331.3,289.0,18570.0,0.0,42.5,5354.0,89401.0
UT-Mobility,51.0,9883.2,294.5,32257.1,0.1,31.7,4681.6,209930.1
MOBS_NEU-GLEAM_COVID,51.0,9899.1,386.8,23436.6,0.0,35.6,9293.8,138357.4
MIT_CovidAnalytics-DELPHI,51.0,17363.1,529.0,56780.6,0.0,12.5,13614.5,389376.0
IHME-CurveFit,51.0,19795.8,804.0,43640.4,0.2,56.8,15662.8,246794.7
CovidActNow-SEIR_CAN,51.0,23308.0,2691.2,82028.8,4.6,331.3,13573.3,568564.3
IowaStateLW-STEM,51.0,44668.5,2916.0,150739.8,0.0,110.5,12240.5,1024144.0
SWC-TerminusCM,51.0,45548.0,1444.0,235715.5,0.0,132.5,14165.0,1682209.0
Covid19Sim-Simulator,51.0,47043.0,5218.5,98496.7,0.0,86.7,21486.5,409655.1
JHU_IDD-CovidSP,51.0,51897.6,5001.8,137393.8,12.4,1114.1,20051.8,706020.1
PSI-DRAFT,51.0,59485.1,900.0,288698.2,0.0,30.5,7225.0,2022084.0
CU-select,51.0,59805.7,1444.0,219940.2,0.0,132.5,25464.5,1478656.0
UA-EpiCovDA,51.0,80353.6,3249.0,287863.4,0.0,156.5,46234.0,1982464.0
USACE-ERDC_SEIR,51.0,172261.9,1010.0,666414.0,0.2,100.9,34903.8,4479886.8
Auquan-SEIR,51.0,505255.1,12769.0,2449629.9,16.0,2462.5,145949.0,17413929.0
