,count,mean,median,std,min,25%,75%,max
UMass-MechBayes,51.0,106.8,44.0,156.2,0.0,9.5,120.5,702.0
UCLA-SuEIR,51.0,108.7,46.0,164.5,0.1,12.1,127.3,789.5
COVIDhub-ensemble,51.0,120.8,46.8,163.0,0.2,13.2,166.8,721.6
LANL-GrowthRate,51.0,122.8,40.3,197.6,0.9,11.6,116.0,994.9
Baseline_0.98,51.0,155.4,58.0,351.2,0.0,8.5,115.4,2214.9
IowaStateLW-STEM,51.0,156.6,73.0,257.7,1.0,17.5,187.0,1639.0
YYG-ParamSearch,51.0,175.3,54.8,268.4,0.2,13.7,202.4,1230.0
IHME-CurveFit,51.0,197.7,57.7,319.4,2.0,22.2,236.1,1593.3
CU-select,51.0,233.2,74.5,500.8,0.0,29.0,231.0,3344.0
UT-Mobility,51.0,235.0,96.1,342.8,1.4,14.2,270.4,1433.5
MIT_CovidAnalytics-DELPHI,51.0,239.3,82.0,406.2,0.0,19.5,218.5,2090.0
USACE-ERDC_SEIR,51.0,253.1,75.9,415.6,0.1,15.7,290.5,1787.3
MOBS_NEU-GLEAM_COVID,51.0,263.1,77.9,457.9,0.7,16.9,231.1,2325.1
Baseline,51.0,268.6,42.3,610.1,0.0,9.0,178.4,3573.7
PSI-DRAFT,51.0,337.7,114.0,637.4,0.0,22.0,283.0,3560.5
Auquan-SEIR,51.0,344.8,134.0,688.6,5.0,24.5,371.0,4246.0
UA-EpiCovDA,51.0,674.0,208.0,1999.2,3.0,72.0,616.0,14135.0
JHU_IDD-CovidSP,51.0,1104.2,477.1,1475.3,11.6,244.6,1292.0,7502.1
