,count,mean,median,std,min,25%,75%,max
Baseline_0.98,51.0,36.4,10.0,76.7,0.0,4.1,34.0,498.3
YYG-ParamSearch,51.0,36.7,9.9,63.0,0.5,3.2,38.7,289.6
UT-Mobility,51.0,38.1,11.4,66.8,0.1,1.9,37.1,385.4
UMass-MechBayes,51.0,38.5,10.0,62.4,0.0,4.0,40.5,324.0
Baseline,51.0,38.7,11.0,88.0,0.0,2.6,34.6,564.7
UCLA-SuEIR,51.0,39.4,16.7,59.2,0.6,3.2,49.2,255.0
LANL-GrowthRate,51.0,41.3,10.9,67.9,0.1,2.7,45.0,358.6
COVIDhub-ensemble,51.0,48.6,16.6,90.2,0.6,3.9,43.8,527.1
MOBS_NEU-GLEAM_COVID,51.0,53.9,17.4,87.0,0.4,5.0,56.6,408.4
IHME-CurveFit,51.0,69.7,15.1,129.1,0.5,4.7,53.7,674.6
CU-select,51.0,70.7,18.0,133.8,0.0,6.5,93.0,856.0
MIT_CovidAnalytics-DELPHI,51.0,73.5,26.0,107.7,0.0,6.5,99.0,463.0
USACE-ERDC_SEIR,51.0,81.6,14.8,159.4,0.1,4.7,61.3,734.2
PSI-DRAFT,51.0,91.0,20.0,272.3,0.0,7.0,45.5,1862.5
IowaStateLW-STEM,51.0,100.4,36.0,222.1,0.0,11.5,71.8,1379.0
Auquan-SEIR,51.0,146.2,55.0,308.0,2.0,22.0,136.0,1926.0
UA-EpiCovDA,51.0,223.4,34.0,779.7,0.0,13.0,115.5,5179.0
JHU_IDD-CovidSP,51.0,372.9,101.0,732.7,3.8,31.4,259.0,3516.8
