,total_deaths_2020-05-04,predicted_deaths,actual_deaths,additional_deaths,error,perc_error
YYG-ParamSearch,69237,104156.4,104054,34817,102.4,0.3%
COVIDhub-ensemble,69237,102955.0,104054,34817,-1099.0,-3.2%
Baseline_0.98,69237,106513.6,104054,34817,2459.6,7.1%
LANL-GrowthRate,69237,107313.7,104054,34817,3259.7,9.4%
UCLA-SuEIR,69237,98748.5,104054,34817,-5305.5,-15.2%
CU-select,69237,109437.0,104054,34817,5383.0,15.5%
MOBS_NEU-GLEAM_COVID,69237,98299.5,104054,34817,-5754.5,-16.5%
IHME-CurveFit,69237,110259.1,104054,34817,6205.1,17.8%
MIT_CovidAnalytics-DELPHI,69237,111124.0,104054,34817,7070.0,20.3%
UT-Mobility,69237,92905.4,104054,34817,-11148.6,-32.0%
IowaStateLW-STEM,69237,90794.0,104054,34817,-13260.0,-38.1%
Baseline,69237,117469.4,104054,34817,13415.4,38.5%
Auquan-SEIR,69237,,104054,34817,,
NotreDame-FRED,69237,,104054,34817,,
UMass-MechBayes,69237,,104054,34817,,
