,total_deaths_2020-05-04,predicted_deaths,actual_deaths,additional_deaths,error,perc_error
CU-select,69237,97534.0,97406,28169,128.0,0.5%
YYG-ParamSearch,69237,96419.7,97406,28169,-986.3,-3.5%
Baseline_0.98,69237,98446.6,97406,28169,1040.6,3.7%
LANL-GrowthRate,69237,99571.7,97406,28169,2165.7,7.7%
COVIDhub-ensemble,69237,95013.9,97406,28169,-2392.1,-8.5%
UCLA-SuEIR,69237,93205.4,97406,28169,-4200.6,-14.9%
MIT_CovidAnalytics-DELPHI,69237,101648.0,97406,28169,4242.0,15.1%
MOBS_NEU-GLEAM_COVID,69237,92779.4,97406,28169,-4626.6,-16.4%
IHME-CurveFit,69237,103071.9,97406,28169,5665.9,20.1%
Baseline,69237,104641.4,97406,28169,7235.4,25.7%
IowaStateLW-STEM,69237,86775.0,97406,28169,-10631.0,-37.7%
UT-Mobility,69237,84651.0,97406,28169,-12755.0,-45.3%
Auquan-SEIR,69237,,97406,28169,,
NotreDame-FRED,69237,,97406,28169,,
UMass-MechBayes,69237,,97406,28169,,
