,count,mean,median,std,min,25%,75%,max
COVIDhub-ensemble,51.0,26035.1,4476.7,65971.5,1.7,569.2,26166.0,442120.9
YYG-ParamSearch,51.0,59162.3,3773.3,164357.0,2.3,360.1,19044.9,1000746.0
LANL-GrowthRate,51.0,116056.4,3914.5,402144.6,0.0,526.0,50594.5,2720619.3
CU-select,51.0,148906.5,7056.0,488966.3,0.0,506.5,59502.5,3279721.0
UCLA-SuEIR,51.0,223064.9,12760.5,761727.3,0.6,620.5,87844.3,4985558.8
Baseline_0.98,51.0,226381.5,2284.2,944928.7,1.0,142.5,20664.6,5394165.6
IHME-CurveFit,51.0,245007.6,2210.5,818066.1,1.1,157.5,74716.9,5083320.4
UMass-MechBayes,51.0,272785.9,10609.0,954548.0,0.0,197.0,57402.5,5433561.0
MIT_CovidAnalytics-DELPHI,51.0,360452.5,11449.0,1429202.3,0.0,733.0,150250.5,9941409.0
IowaStateLW-STEM,51.0,594014.4,27556.0,3429566.0,1.0,1345.0,150198.5,24552025.0
Baseline,51.0,755875.4,2674.4,3296640.0,0.3,239.6,13514.0,19409059.6
MOBS_NEU-GLEAM_COVID,51.0,800572.7,20274.4,2748413.9,0.7,1414.6,125505.9,18668469.4
Auquan-SEIR,51.0,1566935.8,34225.0,8822377.4,4.0,1300.0,258368.5,63075364.0
UT-Mobility,51.0,1837372.8,11387.9,11398264.1,1.3,1833.8,162077.6,81502204.6
