,perc_error_2020-06-08_2020-10-24,perc_error_2020-06-15_2020-10-24,perc_error_2020-06-22_2020-10-24,perc_error_2020-06-29_2020-10-24,perc_error_2020-07-06_2020-10-24,perc_error_2020-07-13_2020-10-24,perc_error_2020-07-20_2020-10-24,perc_error_2020-07-27_2020-10-24,perc_error_2020-08-03_2020-10-24,perc_error_2020-08-10_2020-10-24,perc_error_2020-08-17_2020-10-24,perc_error_2020-08-24_2020-10-24,perc_error_2020-08-31_2020-10-24,perc_error_2020-09-07_2020-10-24,perc_error_2020-09-14_2020-10-24,perc_error_2020-09-21_2020-10-24,perc_error_2020-09-28_2020-10-24,perc_error_2020-10-05_2020-10-24,perc_error_2020-10-12_2020-10-24,perc_error_2020-10-19_2020-10-24
USC-SI_kJalpha,,,,,,,,,,,,,-0.171,-0.110,-0.260,-0.044,0.118,-0.023,-0.051,-0.097
Baseline,0.087,-0.091,-0.265,-0.008,-0.403,-0.134,-0.125,0.057,0.342,0.279,0.264,0.226,0.160,0.109,-0.045,0.011,-0.022,-0.099,-0.114,-0.214
Columbia_UNC-SurvCon,,,,,,,,,,,,,-0.148,0.115,-0.106,-0.142,0.198,0.162,0.029,0.022
QJHong-Encounter,,,,,,,,,,,,,,,-0.276,-0.174,-0.010,-0.037,-0.075,-0.134
JCB-PRM,,,,,,,,,,,,,,-0.155,-0.220,-0.159,-0.139,-0.099,-0.051,-0.105
JHU_IDD-CovidSP,,,,,,,,,,,,,,,0.072,0.000,-0.023,-0.140,-0.195,-0.301
Karlen-pypm,,,,,,,,,,,,,,,,-0.196,-0.121,-0.076,-0.011,-0.062
GT-DeepCOVID,,,,,,,,,,,,,,,,,0.097,0.024,-0.029,-0.044
IowaStateLW-STEM,,,-0.535,-0.813,-0.142,-0.183,-0.318,-0.245,-0.140,,-0.151,-0.050,-0.010,-0.099,0.041,0.060,-0.375,-0.057,-0.101,-0.384
OliverWyman-Navigator,,,,,,,,,,,,,,,,,0.126,-0.016,-0.005,-0.066
LNQ-ens1,,,,,,,,,,,,,,,,,0.007,-0.059,-0.032,-0.086
JHUAPL-Bucky,,,,,,,,,,,,,,,-0.331,-0.231,-0.135,-0.063,-0.086,-0.152
YYG-ParamSearch,,,,,,-0.064,-0.178,-0.093,-0.013,-0.012,-0.069,-0.180,-0.220,-0.241,-0.317,-0.247,-0.073,-0.070,,
UCLA-SuEIR,,,,,,,-0.379,-0.177,-0.049,-0.321,-0.145,-0.171,-0.138,-0.187,-0.250,-0.187,-0.182,-0.135,-0.120,-0.161
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,0.059,0.046,-0.095,-0.097
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.071,-0.070,-0.067,-0.109
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,0.197,0.061,0.010,-0.084
STH-3PU,,-0.342,-0.641,-0.727,-0.712,-0.733,0.110,0.370,1.351,-0.016,-0.015,-0.036,-0.045,-0.677,-0.060,-0.119,,-0.188,-0.151,-0.178
UA-EpiCovDA,,,,,,,,,,,,,,,,,0.102,0.041,-0.053,-0.157
COVIDhub-baseline,,,,,,,,,,,,,,,,,-0.005,-0.089,-0.095,-0.154
CEID-Walk,,,,,,,,,,,,,,,,,0.005,-0.122,-0.088,-0.156
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.024,-0.112,-0.095,-0.154
