,mean_abs_error_2020-04-20_2020-08-01,mean_abs_error_2020-04-27_2020-08-01,mean_abs_error_2020-05-04_2020-08-01,mean_abs_error_2020-05-11_2020-08-01,mean_abs_error_2020-05-18_2020-08-01,mean_abs_error_2020-05-25_2020-08-01,mean_abs_error_2020-06-01_2020-08-01,mean_abs_error_2020-06-08_2020-08-01,mean_abs_error_2020-06-15_2020-08-01,mean_abs_error_2020-06-22_2020-08-01,mean_abs_error_2020-06-29_2020-08-01,mean_abs_error_2020-07-06_2020-08-01,mean_abs_error_2020-07-13_2020-08-01,mean_abs_error_2020-07-20_2020-08-01,mean_abs_error_2020-07-27_2020-08-01,mean_sq_abs_error_2020-04-20_2020-08-01,mean_sq_abs_error_2020-04-27_2020-08-01,mean_sq_abs_error_2020-05-04_2020-08-01,mean_sq_abs_error_2020-05-11_2020-08-01,mean_sq_abs_error_2020-05-18_2020-08-01,mean_sq_abs_error_2020-05-25_2020-08-01,mean_sq_abs_error_2020-06-01_2020-08-01,mean_sq_abs_error_2020-06-08_2020-08-01,mean_sq_abs_error_2020-06-15_2020-08-01,mean_sq_abs_error_2020-06-22_2020-08-01,mean_sq_abs_error_2020-06-29_2020-08-01,mean_sq_abs_error_2020-07-06_2020-08-01,mean_sq_abs_error_2020-07-13_2020-08-01,mean_sq_abs_error_2020-07-20_2020-08-01,mean_sq_abs_error_2020-07-27_2020-08-01
YYG-ParamSearch,,,,,,696.9,499.4,422.3,339.1,268.5,221.3,208.1,103.0,76.8,44.4,,,,,,1626003.2,655841.6,620324.4,563691.0,426079.3,360288.2,343017.5,107031.8,47660.3,19289.0
Covid19Sim-Simulator,,,,,,556.2,551.7,497.8,301.5,244.6,238.0,206.1,115.3,100.7,110.9,,,,,,1307350.3,1285560.2,1126267.0,548112.9,406350.3,355449.9,293189.5,86276.7,79264.7,88092.0
UCLA-SuEIR,,,873.4,752.0,528.2,494.3,429.2,440.7,361.9,322.0,306.8,238.3,145.1,97.3,43.4,,,2521783.5,2494862.3,1202564.7,1038274.8,794700.0,900673.2,846425.1,661506.6,519405.2,435275.7,145816.1,68724.1,16641.6
USACE-ERDC_SEIR,,,,,726.0,626.9,617.8,502.3,288.6,256.7,311.4,167.2,132.1,154.1,69.2,,,,,1629753.1,1408282.0,1295630.0,931288.2,457347.0,328460.6,595793.4,171641.4,96176.3,147017.5,30687.3
COVIDhub-ensemble,,,,,,,,,,,,180.6,124.6,69.4,44.8,,,,,,,,,,,,293877.0,118952.4,37636.9,23187.9
OliverWyman-Navigator,,,,,,,,,,,,187.3,132.3,76.1,40.3,,,,,,,,,,,,289924.7,94483.3,32084.7,13937.6
UMass-MechBayes,,,,,,,,,,,,178.7,89.3,72.2,50.1,,,,,,,,,,,,296845.6,57308.2,41374.5,24368.9
LANL-GrowthRate,,,,,,,,,,264.5,253.9,225.1,170.8,118.0,72.9,,,,,,,,,,425238.7,508228.3,477723.4,191721.4,92601.1,46601.8
UT-Mobility,,,,,,,,,,,,231.7,109.6,75.2,45.2,,,,,,,,,,,,301504.9,45891.9,26156.6,7578.5
IHME-CurveFit,1721.3,1568.1,764.7,547.2,526.4,,586.7,378.5,296.4,221.1,222.1,214.3,,130.8,89.4,7995846.2,6869536.8,1716556.3,1225389.7,946764.5,,1362635.6,654294.0,504802.3,232389.7,288672.7,263355.4,,61842.0,44064.3
