,mean_abs_error_2020-04-27_2020-08-08,mean_abs_error_2020-05-04_2020-08-08,mean_abs_error_2020-05-11_2020-08-08,mean_abs_error_2020-05-18_2020-08-08,mean_abs_error_2020-05-25_2020-08-08,mean_abs_error_2020-06-01_2020-08-08,mean_abs_error_2020-06-08_2020-08-08,mean_abs_error_2020-06-15_2020-08-08,mean_abs_error_2020-06-22_2020-08-08,mean_abs_error_2020-06-29_2020-08-08,mean_abs_error_2020-07-06_2020-08-08,mean_abs_error_2020-07-13_2020-08-08,mean_abs_error_2020-07-20_2020-08-08,mean_abs_error_2020-07-27_2020-08-08,mean_abs_error_2020-08-03_2020-08-08,mean_sq_abs_error_2020-04-27_2020-08-08,mean_sq_abs_error_2020-05-04_2020-08-08,mean_sq_abs_error_2020-05-11_2020-08-08,mean_sq_abs_error_2020-05-18_2020-08-08,mean_sq_abs_error_2020-05-25_2020-08-08,mean_sq_abs_error_2020-06-01_2020-08-08,mean_sq_abs_error_2020-06-08_2020-08-08,mean_sq_abs_error_2020-06-15_2020-08-08,mean_sq_abs_error_2020-06-22_2020-08-08,mean_sq_abs_error_2020-06-29_2020-08-08,mean_sq_abs_error_2020-07-06_2020-08-08,mean_sq_abs_error_2020-07-13_2020-08-08,mean_sq_abs_error_2020-07-20_2020-08-08,mean_sq_abs_error_2020-07-27_2020-08-08,mean_sq_abs_error_2020-08-03_2020-08-08
YYG-ParamSearch,,,,,,592.2,515.6,414.2,331.4,281.3,264.8,132.3,109.5,75.7,25.8,,,,,,950241.8,926448.8,871232.2,671461.6,578354.9,550947.7,170665.5,89744.6,40786.4,4163.6
OliverWyman-Navigator,,,,,,,,,,,,179.7,108.1,69.2,14.6,,,,,,,,,,,,153612.9,50314.9,26479.4,538.9
COVIDhub-ensemble,,,,,,,,,,,,161.5,96.5,72.0,23.3,,,,,,,,,,,,188375.3,57585.1,45434.4,3724.2
UCLA-SuEIR,,1016.7,886.6,643.2,611.8,537.4,549.0,467.8,423.1,404.1,322.1,201.0,149.0,77.4,28.1,,3479208.6,3224642.6,1841384.3,1622630.4,1262371.0,1431199.2,1364181.7,1096799.3,867774.1,757068.5,264895.5,154092.4,42460.0,6114.8
Baseline,2583.1,2222.3,1884.3,1486.5,1115.0,873.8,776.2,596.8,466.7,602.0,357.9,232.9,150.8,84.5,14.5,52930107.8,28789441.5,17417949.0,9810563.5,4120982.4,2363899.4,1984716.2,1415213.0,1036448.6,3283494.5,797775.8,323287.2,133418.8,48380.4,619.7
UMass-MechBayes,,,,,,,,,,,,120.5,101.1,90.1,29.9,,,,,,,,,,,,72698.0,71493.7,67082.0,8199.5
USC-SI_kJalpha,,,,,,,,,,425.8,371.0,277.3,120.2,87.6,21.6,,,,,,,,,,2332835.2,655441.4,258117.8,51056.2,63782.9,1162.2
Covid19Sim-Simulator,,,,,667.3,660.3,602.8,379.9,319.0,292.1,249.0,136.2,123.8,122.8,69.5,,,,,1908077.6,1871120.6,1664703.2,878368.6,657259.4,484190.2,406810.3,120340.5,110086.1,111684.2,31872.9
UA-EpiCovDA,,,,,,,,,,,,265.7,106.8,56.4,26.7,,,,,,,,,,,,473085.3,51897.5,18810.1,4870.3
CovidAnalytics-DELPHI,,,,,,,,,,,286.8,184.2,123.9,84.9,44.4,,,,,,,,,,,398469.3,196636.8,96259.5,55986.7,14122.1
CU-select,,,,,,,,,,,,169.8,143.2,84.2,34.3,,,,,,,,,,,,187048.6,122235.8,37592.5,4595.9
