,perc_error_2020-06-01_2020-10-17,perc_error_2020-06-08_2020-10-17,perc_error_2020-06-15_2020-10-17,perc_error_2020-06-22_2020-10-17,perc_error_2020-06-29_2020-10-17,perc_error_2020-07-06_2020-10-17,perc_error_2020-07-13_2020-10-17,perc_error_2020-07-20_2020-10-17,perc_error_2020-07-27_2020-10-17,perc_error_2020-08-03_2020-10-17,perc_error_2020-08-10_2020-10-17,perc_error_2020-08-17_2020-10-17,perc_error_2020-08-24_2020-10-17,perc_error_2020-08-31_2020-10-17,perc_error_2020-09-07_2020-10-17,perc_error_2020-09-14_2020-10-17,perc_error_2020-09-21_2020-10-17,perc_error_2020-09-28_2020-10-17,perc_error_2020-10-05_2020-10-17,perc_error_2020-10-12_2020-10-17
USC-SI_kJalpha,,,,,,,,,,,,,-0.293,-0.103,-0.036,-0.196,-0.022,0.145,0.021,-0.006
Baseline,0.181,0.089,-0.090,-0.265,-0.009,-0.405,-0.136,-0.128,0.054,0.341,0.281,0.270,0.236,0.174,0.127,-0.028,0.034,0.010,-0.069,-0.086
QJHong-Encounter,,,,,,,,,,,,,,,-0.098,-0.227,-0.145,0.008,-0.001,-0.032
JCB-PRM,,,,,,,,,,,,,,,-0.107,-0.184,-0.123,-0.108,-0.068,-0.009
IowaStateLW-STEM,,,-0.564,-0.534,-0.811,-0.137,-0.186,-0.314,-0.239,-0.127,,-0.130,-0.022,0.021,-0.065,0.078,0.128,-0.329,0.009,-0.081
JHU_IDD-CovidSP,,,,,,,,,,,,,,,0.184,0.100,0.035,0.017,-0.107,-0.139
UCLA-SuEIR,,,,,,,-0.421,-0.360,-0.155,-0.017,-0.287,-0.103,-0.132,-0.094,-0.135,-0.201,-0.123,-0.107,-0.074,-0.041
Columbia_UNC-SurvCon,,,,,,,,,,,,,-0.254,-0.103,0.125,-0.077,-0.092,0.200,0.164,0.086
Karlen-pypm,,,,,,,,,,,,,,,,-0.195,-0.152,-0.076,-0.025,0.038
LNQ-ens1,,,,,,,,,,,,,,,,,-0.039,0.048,-0.020,0.028
COVIDhub-baseline,,,,,,,,,,,,,,,,,0.085,0.035,-0.046,-0.030
