,mean_abs_error_2020-04-20_2020-06-06,mean_abs_error_2020-04-27_2020-06-06,mean_abs_error_2020-05-04_2020-06-06,mean_abs_error_2020-05-11_2020-06-06,mean_abs_error_2020-05-18_2020-06-06,mean_abs_error_2020-05-25_2020-06-06,mean_abs_error_2020-06-01_2020-06-06,mean_sq_abs_error_2020-04-20_2020-06-06,mean_sq_abs_error_2020-04-27_2020-06-06,mean_sq_abs_error_2020-05-04_2020-06-06,mean_sq_abs_error_2020-05-11_2020-06-06,mean_sq_abs_error_2020-05-18_2020-06-06,mean_sq_abs_error_2020-05-25_2020-06-06,mean_sq_abs_error_2020-06-01_2020-06-06
Baseline_0.98,594.6,404.8,244.3,175.8,112.9,43.6,22.2,2763783.3,1143506.2,383481.8,176370.0,85968.0,7737.7,1135.9
LANL-GrowthRate,669.2,428.5,228.6,136.7,88.0,47.8,25.5,3318961.7,921584.9,169272.9,60240.1,33844.3,8159.2,1965.3
YYG-ParamSearch,,323.8,159.4,135.1,114.9,51.3,22.9,,507104.6,89800.1,75814.1,48077.6,8869.5,1897.9
UMass-MechBayes,,,,127.4,76.5,28.5,29.6,,,,42359.6,19253.8,3426.4,3463.8
UCLA-SuEIR,,,289.6,204.1,86.1,49.5,26.4,,,250976.0,427259.4,22737.4,8125.7,2338.0
COVIDhub-ensemble,,,,146.1,97.0,45.4,23.8,,,,86569.0,31565.5,6102.6,2014.0
Baseline,852.9,640.9,428.9,312.5,175.7,68.3,22.8,11924111.7,4347943.8,1517153.9,592901.9,202152.2,18653.0,1168.9
MIT_CovidAnalytics-DELPHI,,428.1,364.0,298.7,175.0,71.1,35.5,,765208.0,531126.3,370275.0,111162.3,17587.3,5078.7
CU-select,,486.3,392.9,210.5,143.5,83.9,57.7,,988799.6,643071.0,116733.4,75863.2,16879.6,11041.4
UT-Mobility,,801.6,776.5,,149.6,56.1,27.9,,3479657.1,5279296.8,,71843.7,11753.2,2938.6
IHME-CurveFit,888.7,767.8,285.0,174.1,159.9,,52.7,2687944.8,2247305.8,316077.1,144753.9,98142.4,,7903.7
IowaStateLW-STEM,,352.6,402.3,,144.0,96.9,91.0,,312021.9,714824.5,,95488.8,32904.1,27949.8
MOBS_NEU-GLEAM_COVID,,,,436.4,181.0,67.5,28.4,,,,1093260.0,131683.1,15211.1,2875.0
PSI-DRAFT,,,,,244.9,146.5,70.2,,,,,312217.2,117182.6,32508.1
USACE-ERDC_SEIR,,,,,193.6,118.7,135.3,,,,,143546.6,61272.9,110006.2
JHU_IDD-CovidSP,,,,,749.5,153.3,65.5,,,,,1737397.3,69019.2,18105.9
CovidActNow-SEIR_CAN,,,,,,,48.2,,,,,,,7205.5
Covid19Sim-Simulator,,,,,,114.0,89.9,,,,,,32097.1,21306.1
UA-EpiCovDA,,,,,504.1,159.8,88.2,,,,,2182807.9,65791.3,36284.5
SWC-TerminusCM,,,,,,,60.4,,,,,,,23086.2
Auquan-SEIR,,,667.8,,320.5,320.5,275.0,,,2298113.5,,511986.8,511986.8,351833.3
