,perc_error_2020-05-25_2020-09-26,perc_error_2020-06-01_2020-09-26,perc_error_2020-06-08_2020-09-26,perc_error_2020-06-15_2020-09-26,perc_error_2020-06-22_2020-09-26,perc_error_2020-06-29_2020-09-26,perc_error_2020-07-06_2020-09-26,perc_error_2020-07-13_2020-09-26,perc_error_2020-07-20_2020-09-26,perc_error_2020-07-27_2020-09-26,perc_error_2020-08-03_2020-09-26,perc_error_2020-08-10_2020-09-26,perc_error_2020-08-17_2020-09-26,perc_error_2020-08-24_2020-09-26,perc_error_2020-08-31_2020-09-26,perc_error_2020-09-07_2020-09-26,perc_error_2020-09-14_2020-09-26,perc_error_2020-09-21_2020-09-26
UCLA-SuEIR,,,,,-0.813,-0.620,-0.602,-0.392,-0.329,-0.124,0.042,-0.207,-0.022,-0.057,-0.013,-0.035,-0.127,-0.014
STH-3PU,,,,-0.502,-0.721,-0.781,-0.785,-0.815,-0.204,0.516,1.666,-0.000,0.005,-0.023,-0.031,-0.629,0.008,-0.040
Columbia_UNC-SurvCon,,,,,,,,,,,-0.240,-0.283,-0.010,-0.126,-0.020,0.082,-0.073,-0.050
IowaStateLW-STEM,-0.414,-0.512,-0.717,-0.561,-0.542,-0.810,-0.147,-0.235,-0.325,-0.250,-0.120,,-0.106,0.009,0.050,-0.034,0.066,0.201
CovidAnalytics-DELPHI,,,,,,,,,,,,-0.152,-0.140,0.025,0.005,-0.037,-0.129,-0.202
QJHong-Encounter,,,,,,,,,,,,,0.027,-0.012,-0.067,-0.047,-0.146,-0.168
USC-SI_kJalpha,,,,,,-0.056,,,,,0.045,-0.206,-0.169,-0.134,0.018,0.075,-0.124,-0.166
Karlen-pypm,,,,,,,,,,,,,,0.060,0.013,-0.066,-0.137,-0.117
Baseline,0.409,0.160,0.068,-0.109,-0.283,-0.040,-0.428,-0.174,-0.171,-0.003,0.270,0.215,0.209,0.181,0.127,0.084,-0.090,-0.090
LNQ-ens1,,,,,,,,,,,,,,,0.017,-0.009,-0.138,-0.047
DDS-NBDS,,,,,,,,,,,,,,,0.041,0.017,-0.057,-0.097
YYG-ParamSearch,,,,-0.134,-0.292,-0.223,-0.285,-0.050,-0.130,-0.043,0.056,0.071,0.020,-0.092,-0.098,-0.106,-0.209,-0.220
NotreDame-mobility,,,,,,,,,,,,,0.280,0.103,-0.178,-0.035,-0.147,-0.311
OliverWyman-Navigator,,,,,,,,,,,,,,,-0.018,-0.026,-0.154,-0.065
GT-DeepCOVID,,,,,,,,,,,,,,,-0.026,0.023,-0.148,-0.069
JHU_IDD-CovidSP,,,,,,,,,,,,,,0.325,0.234,0.096,0.051,-0.001
COVIDhub-ensemble,,,,,,,,,,,,,,,0.027,-0.005,-0.149,-0.131
PSI-DRAFT,,,,,,,,,,,,,-0.122,0.200,0.123,0.131,-0.206,-0.141
COVIDhub-baseline,,,,,,,,,,,,,,,0.182,0.095,-0.052,0.038
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,0.048,-0.022,-0.167,-0.112
JCB-PRM,,,,,,,,,,,,,,,-0.042,-0.043,-0.147,-0.124
CEID-Walk,,,,,,,,,,,,,,,0.190,0.101,-0.050,0.052
USACE-ERDC_SEIR,,,,,,,,,,,0.351,0.321,0.321,0.205,0.232,0.223,0.172,0.116
UMass-MechBayes,,,,,,,,,,,,,,,-0.125,-0.077,-0.142,-0.142
MIT_CritData-GBCF,,,,,,,,,,,,,,,,0.004,-0.299,-0.038
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,0.647,0.137,-0.011,-0.096
CU-select,,,,,,,,,,,,,,,0.094,-0.018,-0.268,-0.226
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,-0.142,-0.090,-0.169,-0.124
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,-0.022,0.045
UA-EpiCovDA,,,,,,,,,,,,,,,0.323,0.214,0.098,-0.131
Covid19Sim-Simulator,-0.565,-0.609,-0.620,-0.411,-0.416,0.105,0.158,0.126,0.119,0.107,-0.007,,-0.512,-0.655,0.130,-0.057,-0.187,-0.633
Auquan-SEIR,,,,,,,,,,,,,-0.368,-0.224,,,,
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,-0.170,-0.189,-0.214,-0.248,-0.406
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,-0.189,-0.172,-0.080
LANL-GrowthRate,,,,,,,,,,,,-0.395,-0.364,-0.355,-0.334,-0.359,-0.228,-0.208
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,-0.189,-0.330,-0.284,-0.277,-0.249
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,-0.026
IHME-CurveFit,,,-0.164,-0.087,-0.245,-0.402,-0.306,,-0.071,-0.089,-0.019,0.136,,0.309,0.291,0.122,,-0.710
RobertWalraven-ESG,,,,,,,,,,,,,-0.479,-0.505,-0.310,-0.444,-0.510,-0.463
UT-Mobility,,,,,,,,,,,,,,,,,-0.203,-0.194
JHUAPL-Bucky,,,,,,,,,,,,,,,-0.364,0.302,-0.293,-0.322
UMich-RidgeTfReg,,,,,,,,,,,,,,,0.369,0.331,0.356,0.369
epiforecasts-ensemble1,,,,,,,,,,,,,,,-0.764,-0.690,-0.718,-0.214
MITCovAlliance-SIR,,,,,,,,,,,-0.454,,-0.629,,,,,
IBF-TimeSeries,,,,,,,,,,,,,,,,0.412,0.374,0.856
TTU-squider,,,,,,,,,,,,,,,,,1.786,
