,perc_error_2020-05-18_2020-09-19,perc_error_2020-05-25_2020-09-19,perc_error_2020-06-01_2020-09-19,perc_error_2020-06-08_2020-09-19,perc_error_2020-06-15_2020-09-19,perc_error_2020-06-22_2020-09-19,perc_error_2020-06-29_2020-09-19,perc_error_2020-07-06_2020-09-19,perc_error_2020-07-13_2020-09-19,perc_error_2020-07-20_2020-09-19,perc_error_2020-07-27_2020-09-19,perc_error_2020-08-03_2020-09-19,perc_error_2020-08-10_2020-09-19,perc_error_2020-08-17_2020-09-19,perc_error_2020-08-24_2020-09-19,perc_error_2020-08-31_2020-09-19,perc_error_2020-09-07_2020-09-19,perc_error_2020-09-14_2020-09-19
QJHong-Encounter,,,,,,,,,,,,,0.071,0.031,0.005,-0.022,-0.016,-0.106
STH-3PU,,,,,-0.512,-0.724,-0.784,-0.791,-0.824,-0.243,0.532,1.701,0.011,0.018,-0.009,-0.011,-0.597,0.045
UCLA-SuEIR,,,,,-0.788,-0.801,-0.610,-0.595,-0.381,-0.319,-0.113,0.065,-0.176,0.009,-0.022,0.028,0.017,-0.096
CovidAnalytics-DELPHI,,,,,,,,,,,,,-0.149,-0.128,0.050,0.040,0.003,-0.127
Columbia_UNC-SurvCon,,,,,,,,,,,-0.240,-0.201,-0.243,0.023,-0.074,0.018,0.095,-0.056
IowaStateLW-STEM,-0.596,-0.416,-0.509,-0.706,-0.557,-0.543,-0.809,-0.148,-0.251,-0.328,-0.252,-0.113,,-0.094,0.026,0.071,-0.015,0.021
YYG-ParamSearch,,,,,-0.126,-0.293,-0.221,-0.290,-0.056,-0.122,-0.037,0.067,0.087,0.040,-0.064,-0.062,-0.062,-0.199
USC-SI_kJalpha,,,,,,,-0.011,,,,-0.457,0.104,-0.147,-0.117,-0.072,0.052,0.102,-0.101
JCB-PRM,,,,,,,,,,,,,,,0.039,-0.003,-0.002,-0.123
LNQ-ens1,,,,,,,,,,,,,,,-0.000,0.015,0.022,-0.129
NotreDame-mobility,,,,,,,,,,,,,0.119,0.218,0.069,-0.167,-0.031,-0.263
OliverWyman-Navigator,,,,,,,,,,,,,,,-0.041,0.020,0.016,-0.134
Karlen-pypm,,,,,,,,,,,,,,0.290,0.076,0.040,-0.022,-0.106
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,0.092,0.045,-0.016,-0.087
COVIDhub-ensemble,,,,,,,,,,,,,,,0.050,0.039,0.020,-0.146
Baseline,0.686,0.404,0.155,0.064,-0.114,-0.288,-0.049,-0.435,-0.187,-0.186,-0.023,0.246,0.193,0.188,0.164,0.115,0.077,-0.134
GT-DeepCOVID,,,,,,,,,,,,,,,0.054,-0.047,0.023,-0.189
JHU_IDD-CovidSP,,,,,,,,,,,,,,0.612,0.271,0.180,0.030,0.039
CU-select,,,,,,,,,,,,,,,-0.051,0.028,-0.089,-0.292
IHME-CurveFit,,,,-0.208,-0.131,-0.275,-0.406,-0.320,,-0.066,-0.080,-0.018,0.115,,0.294,0.239,0.040,
PSI-DRAFT,,,,,,,,,,,,,0.448,-0.182,0.182,0.119,0.122,-0.183
DDS-NBDS,,,,,,,,,,,,,,,0.301,0.063,0.044,-0.072
UMass-MechBayes,,,,,,,,,,,,,,,-0.145,-0.083,-0.047,-0.158
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,-0.145,-0.118,-0.057,-0.152
COVIDhub-baseline,,,,,,,,,,,,,,,0.209,0.179,0.102,-0.060
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,0.076,-0.163,-0.186,-0.226,-0.312
UA-EpiCovDA,,,,,,,,,,,,,,,0.156,0.291,0.181,0.028
Auquan-SEIR,,,,,,,,,,,,,,-0.279,-0.097,,,
CEID-Walk,,,,,,,,,,,,,,,0.214,0.184,0.106,-0.060
USACE-ERDC_SEIR,,,,,,,,,,,0.486,0.369,0.351,0.351,0.249,0.239,0.200,0.141
Covid19Sim-Simulator,,-0.563,-0.612,-0.625,-0.408,-0.416,0.029,0.093,0.064,0.074,0.066,-0.023,,-0.545,-0.706,0.200,-0.010,-0.210
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,0.569,0.498,0.142,-0.018
LANL-GrowthRate,,,,,,,,,,,,-0.436,-0.361,-0.329,-0.308,-0.282,-0.299,-0.196
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,0.238,-0.031
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,-0.180,-0.305,-0.246,-0.239
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,0.067,-0.151
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,-0.071
RobertWalraven-ESG,,,,,,,,,,,,,,-0.475,-0.504,-0.266,-0.395,-0.529
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.249,-0.170
UMich-RidgeTfReg,,,,,,,,,,,,,,,0.327,0.317,0.248,0.318
epiforecasts-ensemble1,,,,,,,,,,,,,,,-0.246,-0.663,-0.501,-1.215
UT-Mobility,,,,,,,,,,,,,,,0.273,,,-0.303
JHUAPL-Bucky,,,,,,,,,,,,,,,,-0.403,0.275,-0.331
MITCovAlliance-SIR,,,,,,,,,,,-0.556,-0.451,,-0.660,,,,
IBF-TimeSeries,,,,,,,,,,,,,,,,,0.542,0.773
TTU-squider,,,,,,,,,,,,,,,,,,2.774
