,mean_abs_error_2020-06-08_2020-10-24,mean_abs_error_2020-06-15_2020-10-24,mean_abs_error_2020-06-22_2020-10-24,mean_abs_error_2020-06-29_2020-10-24,mean_abs_error_2020-07-06_2020-10-24,mean_abs_error_2020-07-13_2020-10-24,mean_abs_error_2020-07-20_2020-10-24,mean_abs_error_2020-07-27_2020-10-24,mean_abs_error_2020-08-03_2020-10-24,mean_abs_error_2020-08-10_2020-10-24,mean_abs_error_2020-08-17_2020-10-24,mean_abs_error_2020-08-24_2020-10-24,mean_abs_error_2020-08-31_2020-10-24,mean_abs_error_2020-09-07_2020-10-24,mean_abs_error_2020-09-14_2020-10-24,mean_abs_error_2020-09-21_2020-10-24,mean_abs_error_2020-09-28_2020-10-24,mean_abs_error_2020-10-05_2020-10-24,mean_abs_error_2020-10-12_2020-10-24,mean_abs_error_2020-10-19_2020-10-24,mean_sq_abs_error_2020-06-08_2020-10-24,mean_sq_abs_error_2020-06-15_2020-10-24,mean_sq_abs_error_2020-06-22_2020-10-24,mean_sq_abs_error_2020-06-29_2020-10-24,mean_sq_abs_error_2020-07-06_2020-10-24,mean_sq_abs_error_2020-07-13_2020-10-24,mean_sq_abs_error_2020-07-20_2020-10-24,mean_sq_abs_error_2020-07-27_2020-10-24,mean_sq_abs_error_2020-08-03_2020-10-24,mean_sq_abs_error_2020-08-10_2020-10-24,mean_sq_abs_error_2020-08-17_2020-10-24,mean_sq_abs_error_2020-08-24_2020-10-24,mean_sq_abs_error_2020-08-31_2020-10-24,mean_sq_abs_error_2020-09-07_2020-10-24,mean_sq_abs_error_2020-09-14_2020-10-24,mean_sq_abs_error_2020-09-21_2020-10-24,mean_sq_abs_error_2020-09-28_2020-10-24,mean_sq_abs_error_2020-10-05_2020-10-24,mean_sq_abs_error_2020-10-12_2020-10-24,mean_sq_abs_error_2020-10-19_2020-10-24
JCB-PRM,,,,,,,,,,,,,,153.0,158.7,113.1,82.0,69.6,43.0,30.0,,,,,,,,,,,,,,93201.9,82415.9,39585.8,17857.9,10893.5,4322.0,2317.5
YYG-ParamSearch,,,,,,478.2,463.5,354.5,273.1,247.6,204.4,237.4,211.0,201.2,202.7,136.4,92.3,44.0,,,,,,,,693837.0,643755.2,314871.5,146051.5,152030.0,92405.8,179506.3,162392.9,139758.1,129020.6,48221.1,21155.1,5027.2,,
USC-SI_kJalpha,,,,,,,,,,,,,270.6,201.7,186.0,126.7,107.8,66.1,46.1,29.0,,,,,,,,,,,,,311945.7,103551.8,85043.4,41577.1,25834.8,12084.4,6011.7,1831.2
Karlen-pypm,,,,,,,,,,,,,,,,135.5,98.2,57.4,44.0,26.2,,,,,,,,,,,,,,,,69888.6,32919.5,8206.5,5264.1,1289.3
Baseline,1951.3,1539.8,1247.1,1714.1,1028.6,730.4,533.5,444.3,722.0,590.4,541.8,418.3,328.5,250.4,177.8,156.6,117.6,62.8,53.3,31.5,11762225.4,8648736.5,6192536.4,26756249.0,4933346.6,1985756.2,826602.0,675338.2,3548839.5,2174181.7,1433953.0,919270.0,350058.0,250470.5,83390.4,62119.8,33488.1,9979.3,7491.3,1975.8
JHU_IDD-CovidSP,,,,,,,,,,,,,,,142.6,114.9,88.2,81.9,57.4,36.6,,,,,,,,,,,,,,,52061.6,29270.6,16658.2,15038.5,7513.4,2543.8
UMass-MechBayes,,,,,,,,,,,,,,,,,79.1,59.8,37.1,25.3,,,,,,,,,,,,,,,,,17414.2,10616.8,3759.3,1316.0
IowaStateLW-STEM,,,1234.2,1264.0,947.5,859.9,625.9,663.9,569.8,,471.5,443.4,284.1,245.6,167.0,170.5,120.1,86.2,52.2,35.1,,,5447550.1,7174421.1,3498238.5,2799573.5,873273.5,1509530.2,1695147.6,,962273.8,958179.5,298132.5,171142.2,70338.8,70610.1,33268.2,18317.4,6774.3,2611.8
COVIDhub-ensemble,,,,,,,,,,,,,,,,,87.4,62.5,41.1,27.1,,,,,,,,,,,,,,,,,17309.4,9593.1,4170.8,1608.7
LNQ-ens1,,,,,,,,,,,,,,,,,86.0,66.3,44.1,26.5,,,,,,,,,,,,,,,,,15776.6,10137.1,4179.4,1437.4
UCLA-SuEIR,,,,,,,685.5,482.2,389.8,476.2,350.6,297.7,256.8,206.2,168.4,149.6,111.2,87.1,71.7,34.9,,,,,,,1980322.0,643345.7,567786.5,680107.9,274524.5,199744.8,126788.9,98066.9,64523.5,48116.0,24269.4,16893.3,10794.9,2952.4
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,97.2,72.0,49.7,24.9,,,,,,,,,,,,,,,,,24112.2,13568.2,7192.8,1185.1
OliverWyman-Navigator,,,,,,,,,,,,,,,,,136.1,55.7,49.3,26.2,,,,,,,,,,,,,,,,,66895.2,7693.7,7276.1,1564.1
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,124.5,70.6,35.8,26.5,,,,,,,,,,,,,,,,,53207.8,12794.5,3513.8,1648.4
CMU-TimeSeries,,,,,,,,,,,,,,,,,98.0,66.2,50.7,31.9,,,,,,,,,,,,,,,,,20486.2,9575.4,7015.4,2581.8
Covid19Sim-Simulator,1372.1,1101.9,1000.6,1710.3,1379.4,1019.9,700.8,553.0,351.2,,,531.2,218.7,223.0,170.4,159.2,115.4,87.8,95.2,98.3,7963647.4,5416500.1,3894084.2,31059509.5,20224733.1,7691193.1,2571964.6,1552372.7,323466.2,,,1114034.4,204502.2,209963.3,88202.3,55870.2,28505.2,17658.8,19303.7,20338.7
COVIDhub-baseline,,,,,,,,,,,,,,,,,118.3,62.6,52.8,33.3,,,,,,,,,,,,,,,,,33901.7,10579.3,7380.7,2728.9
GT-DeepCOVID,,,,,,,,,,,,,,,,,109.0,85.1,49.3,32.9,,,,,,,,,,,,,,,,,34059.4,17943.0,6743.2,2396.0
CEID-Walk,,,,,,,,,,,,,,,,,121.1,64.9,51.1,33.0,,,,,,,,,,,,,,,,,35193.3,11530.0,6940.1,2578.2
JHUAPL-Bucky,,,,,,,,,,,,,,,278.6,186.7,157.7,89.3,52.9,34.7,,,,,,,,,,,,,,,315382.0,155997.6,101703.9,19230.6,6635.4,2873.9
CovidAnalytics-DELPHI,,,,,,,,,,,,,,267.5,222.0,186.0,149.8,92.8,59.0,43.6,,,,,,,,,,,,,,166795.2,108734.5,73268.5,43949.5,19839.5,8286.3,4062.8
Columbia_UNC-SurvCon,,,,,,,,,,,,,,591.4,325.5,489.8,259.9,109.4,54.2,25.3,,,,,,,,,,,,,,1743473.8,340135.2,2717489.5,804740.3,50274.3,6687.2,1789.3
UA-EpiCovDA,,,,,,,,,,,,,,,,,143.3,76.0,58.9,31.6,,,,,,,,,,,,,,,,,78129.1,18540.2,12627.5,2212.3
PSI-DRAFT,,,,,,,,,,,,,,,252.4,175.4,135.6,115.2,76.9,43.8,,,,,,,,,,,,,,,166667.9,77097.0,42328.7,28736.6,15944.4,4032.8
LANL-GrowthRate,,,,,,,,,,,,,,332.0,271.1,191.0,143.8,114.2,63.3,34.5,,,,,,,,,,,,,,310464.2,160581.6,74038.9,49133.5,37224.7,10846.5,2711.9
DDS-NBDS,,,,,,,,,,,,,,,,,135.8,109.9,65.0,24.1,,,,,,,,,,,,,,,,,55541.5,36753.9,10981.3,1545.6
NotreDame-mobility,,,,,,,,,,,,,,,266.7,208.8,155.6,90.0,79.5,40.2,,,,,,,,,,,,,,,177086.1,146903.1,62856.1,18003.2,15677.2,3778.7
UT-Mobility,,,,,,,,,,,,,,,,,236.9,64.6,55.7,35.7,,,,,,,,,,,,,,,,,182541.3,11683.0,9460.9,2894.1
Google_Harvard-CPF,,,,,,,,,,,,,,,,,120.2,117.5,55.0,33.5,,,,,,,,,,,,,,,,,47858.9,34705.2,8051.4,3154.6
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,200.0,97.5,61.7,29.0,,,,,,,,,,,,,,,,,156239.9,33762.2,10001.7,1980.1
MSRA-DeepST,,,,,,,,,,,,,,,,,,,48.1,26.7,,,,,,,,,,,,,,,,,,,5819.1,1504.1
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,184.3,98.7,62.2,30.5,,,,,,,,,,,,,,,,,123563.9,34048.8,10059.3,2100.0
MITCovAlliance-SIR,,,,,,,,,,,,,,403.7,386.2,341.5,109.7,,,31.8,,,,,,,,,,,,,,707191.2,665586.1,517797.4,33647.8,,,2813.8
CU-select,,,,,,,,,,,,,,,,,185.5,94.9,63.1,32.6,,,,,,,,,,,,,,,,,86476.1,25721.0,12125.5,2355.8
BPagano-RtDriven,,,,,,,,,,,,,,,,,,87.2,71.8,30.7,,,,,,,,,,,,,,,,,,15889.7,14259.9,2719.8
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,163.3,88.7,65.1,35.0,,,,,,,,,,,,,,,,,85182.4,23563.0,11814.9,2539.3
RobertWalraven-ESG,,,,,,,,,,,,,418.0,417.5,378.4,309.3,246.2,128.0,94.6,32.5,,,,,,,,,,,,,472933.0,480661.6,379691.5,289755.7,161903.4,31692.9,20724.9,2341.2
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,68.4,,52.4,,,,,,,,,,,,,,,,,,9877.2,,8242.8
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,414.2,348.4,278.4,222.4,178.3,133.6,73.6,,,,,,,,,,,,,,388778.5,263869.7,171277.2,111393.1,80691.6,54803.5,13790.9
IHME-CurveFit,1815.9,1456.3,964.8,863.0,733.1,,637.4,516.8,540.0,559.1,,636.7,602.4,437.1,,188.7,203.8,,,55.4,10763599.3,9421433.3,3554897.6,2163931.8,1553466.7,,923020.4,482197.4,1123497.5,1211926.3,,2246572.3,1698693.0,576178.3,,89951.9,145993.2,,,10245.7
USACE-ERDC_SEIR,,,,,,,,,,,,,476.9,411.8,334.3,312.1,236.0,,129.9,,,,,,,,,,,,,,611732.6,582373.9,302021.5,267308.6,165439.6,,52504.4,
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,216.5,189.8,63.8,49.4,,,,,,,,,,,,,,,,,125170.0,113653.4,11413.4,7832.1
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,31.3,,,,,,,,,,,,,,,,,,,,2197.8
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,57.3,,,,,,,,,,,,,,,,,,,,7989.3,
TTU-squider,,,,,,,,,,,,,,,,,719.9,312.2,343.6,330.1,,,,,,,,,,,,,,,,,3451880.9,381180.1,422595.6,371756.4
